Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,7.5,32.0,6.5,32.63
2.071,7.5,32.0,6.44,32.63
4.17,7.5,32.0,6.44,32.63
6.242,7.5,32.0,6.44,32.63
8.308,7.5,32.0,6.44,32.63
10.415,7.5,32.0,6.44,32.63
12.518,7.5,31.94,6.5,32.63
14.575,7.5,31.94,6.5,32.63
16.675,7.5,31.94,6.5,32.56
18.741,7.5,31.94,6.5,32.56
20.841,7.5,31.94,6.5,32.5
22.926,7.5,31.94,6.5,32.5
25.026,7.5,31.94,6.5,32.44
27.076,7.5,31.94,6.5,32.38
29.203,7.5,31.94,6.5,32.38
31.269,7.5,31.94,6.5,32.38
33.342,7.5,31.94,6.5,32.38
35.428,7.5,31.94,6.5,32.38
37.524,7.5,31.94,6.56,32.31
39.627,7.5,31.94,6.56,32.31
41.708,7.5,31.87,6.56,32.31
43.773,7.5,31.87,6.56,32.31
45.861,7.5,31.87,6.56,32.38
47.963,7.5,31.87,6.5,32.38
50.062,7.5,31.87,6.5,32.38
52.136,7.5,31.87,6.44,32.38
54.231,7.5,31.87,6.44,32.38
56.313,7.5,31.87,6.44,32.38
58.373,7.5,31.87,6.44,32.38
60.446,7.5,31.87,6.44,32.38
62.551,7.0,31.81,6.44,32.31
64.645,7.5,31.87,6.44,32.31
66.731,7.0,31.87,6.44,32.38
68.787,7.0,31.81,6.44,32.38
70.891,7.0,31.81,6.44,32.38
72.976,7.0,31.81,6.38,32.38
75.083,7.0,31.81,6.38,32.44
77.169,7.0,31.81,6.31,32.44
79.245,7.0,31.87,6.31,32.38
81.3,7.0,31.81,6.31,32.38
83.414,7.0,31.81,6.31,32.38
85.5,7.0,31.87,6.31,32.38
87.569,7.0,31.81,6.31,32.31
89.682,7.0,31.81,6.31,32.38
91.74,7.0,31.81,6.25,32.38
93.858,7.0,31.81,6.25,32.38
95.909,7.0,31.81,6.25,32.38
98.004,7.0,31.81,6.25,32.38
100.08,7.0,31.81,6.25,32.38
102.2,7.0,31.81,6.19,32.38
104.309,7.0,31.81,6.19,32.38
106.354,7.0,31.87,6.19,32.44
108.41,7.0,31.81,6.13,32.44
110.512,7.0,31.87,6.13,32.44
112.609,7.0,31.87,6.13,32.44
114.687,7.0,31.87,6.13,32.38
116.791,7.0,31.87,6.13,32.38
118.875,7.0,31.81,6.06,32.38
120.96,7.0,31.81,6.06,32.31
123.059,7.0,31.81,6.06,32.31
125.112,7.0,31.81,6.06,32.31
127.216,7.0,31.81,6.0,32.31
129.284,7.0,31.81,6.0,32.38
131.393,7.0,31.81,6.0,32.38
133.446,7.0,31.81,6.0,32.38
135.568,7.0,31.81,5.94,32.38
137.636,7.0,31.81,5.94,32.38
139.739,7.0,31.81,5.94,32.38
141.798,7.0,31.81,5.94,32.31
143.893,7.0,31.81,5.94,32.31
145.993,7.0,31.81,5.88,32.31
148.062,7.0,31.81,5.81,32.38
150.132,7.0,31.81,5.81,32.38
152.237,7.0,31.87,5.75,32.38
154.308,7.0,31.87,5.75,32.38
156.402,7.0,31.87,5.69,32.38
158.508,7.0,31.87,5.63,32.38
160.596,7.0,31.87,5.63,32.38
162.65,7.0,31.87,5.56,32.38
164.744,7.0,31.87,5.56,32.38
166.834,7.0,31.87,5.63,32.44
168.931,7.0,31.87,5.63,32.44
171.027,7.0,31.87,5.63,32.44
173.083,7.0,31.87,5.63,32.44
175.185,6.5,31.87,5.56,32.44
177.254,6.5,31.87,5.56,32.44
179.364,6.5,31.87,5.5,32.44
181.447,6.5,31.87,5.5,32.5
183.506,6.5,31.81,5.44,32.5
185.612,6.5,31.87,5.44,32.5
187.672,6.5,31.87,5.44,32.5
189.775,6.5,31.87,5.38,32.44
191.881,6.5,31.87,5.38,32.44
193.954,6.5,31.87,5.38,32.38
196.032,6.5,31.87,5.31,32.38
198.125,6.5,31.87,5.31,32.38
200.181,6.5,31.94,5.31,32.44
202.281,6.5,31.94,5.31,32.44
204.36,6.5,31.94,5.25,32.44
206.463,6.5,31.94,5.25,32.44
208.565,6.5,31.87,5.25,32.44
210.655,6.5,31.94,5.25,32.44
212.722,6.5,31.87,5.25,32.5
214.791,6.5,31.94,5.25,32.44
216.895,6.5,31.94,5.25,32.44
218.967,6.5,31.94,5.25,32.5
221.074,6.5,31.87,5.25,32.5
223.166,6.5,31.87,5.31,32.5
225.248,6.5,31.87,5.25,32.5
227.335,6.5,31.87,5.25,32.5
229.387,6.5,31.87,5.25,32.5
231.503,6.5,31.87,5.25,32.56
233.573,6.5,31.87,5.25,32.5
235.676,6.5,31.87,5.25,32.44
237.731,6.5,31.87,5.25,32.44
239.835,6.5,31.87,5.25,32.44
241.913,6.5,31.87,5.25,32.44
244.011,6.5,31.94,5.25,32.38
246.099,6.5,31.87,5.31,32.38
248.156,6.5,31.87,5.25,32.38
250.261,6.5,31.87,5.25,32.38
252.36,6.5,31.87,5.19,32.38
254.448,6.5,31.94,5.13,32.38
256.506,6.5,31.94,5.13,32.44
258.609,6.5,31.94,5.06,32.38
260.701,6.5,31.94,5.06,32.44
262.801,6.5,31.94,5.06,32.44
264.871,6.5,31.94,5.0,32.5
266.967,6.5,31.94,5.0,32.5
269.042,6.5,31.94,4.94,32.56
271.103,6.5,31.94,4.94,32.56
273.225,6.5,31.94,4.94,32.56
275.292,6.5,31.94,4.88,32.56
277.388,6.5,31.94,4.88,32.63
279.464,6.5,31.94,4.81,32.63
281.533,6.5,31.94,4.81,32.63
283.649,6.5,31.94,4.75,32.63
285.729,6.0,31.94,4.81,32.63
287.815,6.0,32.0,4.75,32.63
289.905,6.0,31.94,4.75,32.63
291.976,6.0,32.0,4.75,32.56
294.045,6.0,31.94,4.75,32.56
296.155,6.0,31.94,4.75,32.56
298.222,6.0,31.94,4.69,32.56
300.325,6.0,31.94,4.69,32.56
302.399,6.0,31.94,4.69,32.56
304.492,6.0,31.94,4.69,32.5
306.596,6.0,31.94,4.69,32.5
308.65,6.0,31.94,4.69,32.5
310.753,6.0,31.94,4.75,32.5
312.829,6.0,31.94,4.75,32.44
314.917,6.0,31.87,4.75,32.44
317.02,6.0,31.87,4.75,32.44
319.079,6.0,31.87,4.75,32.44
321.199,6.0,31.87,4.75,32.44
323.262,6.0,31.87,4.75,32.44
325.358,6.0,31.87,4.69,32.44
327.463,6.0,31.87,4.69,32.44
329.522,6.0,31.87,4.63,32.5
331.626,6.0,31.87,4.63,32.5
333.677,6.0,31.94,4.63,32.5
335.779,6.0,31.87,4.56,32.5
337.876,6.0,31.87,4.56,32.5
339.949,6.0,31.87,4.56,32.5
342.049,6.0,31.87,4.56,32.5
344.131,6.0,31.87,4.63,32.44
346.21,6.0,31.87,4.63,32.44
348.316,6.0,31.87,4.63,32.44
350.407,6.0,31.87,4.56,32.44
352.459,6.0,31.87,4.56,32.44
354.575,6.0,31.87,4.56,32.44
356.642,6.0,31.87,4.56,32.44
358.71,6.0,31.87,4.5,32.44
360.83,6.0,31.87,4.44,32.44
362.895,6.0,31.81,4.44,32.44
365.01,6.0,31.87,4.44,32.44
367.075,6.0,31.87,4.38,32.5
369.148,6.0,31.87,4.38,32.5
371.251,6.0,31.87,4.38,32.5
373.336,6.0,31.87,4.31,32.5
375.398,6.0,31.87,4.31,32.5
377.518,6.0,31.87,4.25,32.56
379.588,6.0,31.87,4.25,32.56
381.681,6.0,31.87,4.19,32.56
383.767,5.5,31.87,4.19,32.56
385.859,5.5,31.87,4.19,32.63
387.91,5.5,31.94,4.13,32.56
390.034,5.5,31.94,4.13,32.56
392.096,5.5,31.87,4.13,32.56
394.179,5.5,31.87,4.06,32.63
396.283,5.5,31.87,4.06,32.63
398.35,5.5,31.87,4.06,32.63
400.435,5.5,31.87,4.06,32.63
402.548,5.5,31.94,4.13,32.56
404.633,5.5,31.87,4.13,32.56
406.715,5.5,31.87,4.13,32.5
408.803,5.5,31.87,4.13,32.5
410.903,5.5,31.87,4.13,32.5
412.948,5.5,31.87,4.13,32.44
415.043,5.5,31.87,4.13,32.44
417.136,5.5,31.87,4.13,32.38
419.236,5.5,31.87,4.13,32.38
421.301,5.5,31.87,4.06,32.38
423.389,5.5,31.87,4.06,32.31
425.474,5.5,31.87,4.06,32.38
427.581,5.5,31.87,4.13,32.38
429.633,5.5,31.87,4.13,32.38
431.749,5.5,31.87,4.06,32.38
433.817,5.5,31.87,4.06,32.38
435.923,5.5,31.81,4.0,32.44
437.975,5.5,31.81,4.06,32.38
440.077,5.5,31.81,4.06,32.38
442.161,5.5,31.81,4.0,32.38
444.277,5.5,31.87,4.0,32.44
446.348,5.5,31.81,4.0,32.44
448.431,5.5,31.81,4.0,32.44
450.53,5.5,31.81,4.0,32.44
452.582,5.5,31.81,3.94,32.44
454.667,5.5,31.81,3.94,32.44
456.769,5.5,31.81,3.94,32.44
458.853,5.5,31.81,3.94,32.44
460.947,5.5,31.81,3.94,32.5
463.041,5.5,31.81,3.88,32.44
465.137,5.5,31.81,3.94,32.5
467.211,5.5,31.81,3.94,32.5
469.273,5.5,31.81,3.88,32.5
471.357,5.5,31.81,3.88,32.5
473.47,5.5,31.87,3.81,32.5
475.544,5.5,31.87,3.81,32.5
477.623,5.5,31.87,3.81,32.44
479.706,5.5,31.87,3.81,32.44
481.785,5.5,31.87,3.75,32.5
483.878,5.0,31.87,3.81,32.5
485.961,5.5,31.87,3.81,32.5
488.083,5.5,31.87,3.81,32.5
490.149,5.0,31.81,3.81,32.5
492.222,5.5,31.87,3.75,32.5
494.341,5.5,31.81,3.75,32.5
496.399,5.5,31.87,3.75,32.56
498.482,5.0,31.87,3.69,32.56
500.59,5.0,31.81,3.69,32.5
502.681,5.0,31.87,3.69,32.5
504.729,5.0,31.81,3.69,32.5
506.845,5.0,31.81,3.69,32.5
508.904,5.0,31.81,3.69,32.5
511.002,5.0,31.81,3.69,32.56
513.103,5.0,31.81,3.69,32.5
515.184,5.0,31.81,3.69,32.5
517.253,5.0,31.81,3.75,32.5
519.359,5.0,31.81,3.81,32.44
521.422,5.0,31.75,3.81,32.44
523.526,5.0,31.75,3.81,32.38
525.611,5.0,31.75,3.81,32.38
527.675,5.0,31.75,3.81,32.38
529.769,5.0,31.75,3.88,32.31
531.883,5.0,31.75,3.88,32.31
533.964,5.0,31.75,3.94,32.31
536.025,5.0,31.75,3.88,32.31
538.132,5.0,31.69,3.88,32.31
540.219,5.0,31.75,3.88,32.38
542.314,5.0,31.69,3.88,32.38
544.399,5.0,31.69,3.88,32.38
546.459,5.0,31.69,3.88,32.38
548.559,5.0,31.69,3.94,32.38
550.633,5.0,31.69,4.0,32.31
552.731,5.0,31.62,4.0,32.31
554.801,5.0,31.69,3.94,32.31
556.902,5.0,31.62,3.94,32.31
558.992,5.0,31.62,3.94,32.31
561.078,5.0,31.62,3.94,32.31
563.141,5.0,31.62,3.88,32.25
565.257,5.0,31.62,3.94,32.25
567.309,5.0,31.56,3.94,32.25
569.426,5.0,31.56,3.88,32.25
571.489,5.0,31.56,3.88,32.25
573.571,5.0,31.56,3.81,32.25
575.67,5.0,31.62,3.81,32.25
577.763,5.0,31.56,3.75,32.31
579.847,5.0,31.56,3.69,32.31
581.93,5.0,31.62,3.75,32.31
583.998,5.0,31.56,3.75,32.31
586.106,5.0,31.56,3.75,32.31
588.207,5.0,31.56,3.81,32.31
590.292,5.0,31.56,3.75,32.31
592.369,5.0,31.56,3.81,32.25
594.449,5.0,31.56,3.81,32.31
596.536,5.0,31.5,3.81,32.31
598.619,5.0,31.5,3.81,32.31
600.685,5.0,31.5,3.88,32.31
602.811,5.0,31.5,3.88,32.31
604.875,5.0,31.5,3.88,32.25
606.979,5.0,31.5,3.88,32.25
609.075,5.0,31.5,3.88,32.25
611.147,5.0,31.5,3.88,32.25
613.209,5.0,31.5,3.81,32.25
615.295,5.0,31.5,3.81,32.25
617.376,5.0,31.5,3.69,32.25
619.494,5.0,31.5,3.69,32.31
621.564,5.0,31.5,3.63,32.31
623.661,5.0,31.5,3.63,32.31
625.762,5.0,31.5,3.63,32.25
627.817,5.0,31.5,3.63,32.31
629.925,5.0,31.5,3.63,32.25
631.979,5.0,31.5,3.63,32.25
634.109,5.0,31.5,3.56,32.25
636.162,5.0,31.5,3.5,32.25
638.267,5.0,31.5,3.5,32.31
640.351,5.0,31.5,3.5,32.31
642.42,5.0,31.5,3.44,32.25
644.522,5.0,31.5,3.44,32.31
646.606,5.0,31.5,3.38,32.31
648.694,5.0,31.5,3.38,32.31
650.776,4.5,31.5,3.38,32.38
652.873,5.0,31.5,3.44,32.31
654.953,5.0,31.5,3.44,32.31
657.041,4.5,31.5,3.44,32.31
659.138,5.0,31.5,3.44,32.38
661.195,4.5,31.5,3.44,32.38
663.305,4.5,31.5,3.44,32.44
665.393,4.5,31.5,3.44,32.44
667.477,4.5,31.5,3.38,32.44
669.54,4.5,31.5,3.38,32.5
671.63,4.5,31.5,3.38,32.5
673.713,4.5,31.5,3.38,32.5
675.785,4.5,31.5,3.38,32.5
677.883,4.5,31.5,3.38,32.44
679.991,4.5,31.5,3.44,32.44
682.051,4.5,31.5,3.44,32.44
684.172,4.5,31.5,3.44,32.44
686.256,4.5,31.5,3.44,32.44
688.323,4.5,31.5,3.44,32.44
690.405,4.5,31.5,3.38,32.44
692.491,4.5,31.5,3.44,32.44
694.592,4.5,31.5,3.38,32.38
696.685,4.5,31.5,3.38,32.38
698.753,4.5,31.5,3.38,32.38
700.848,4.5,31.5,3.31,32.38
702.93,4.5,31.5,3.25,32.38
705.001,4.5,31.5,3.25,32.38
707.081,4.5,31.5,3.19,32.38
709.181,4.5,31.5,3.19,32.44
711.264,4.5,31.5,3.13,32.44
713.348,4.5,31.5,3.13,32.44
715.435,4.5,31.56,3.0,32.5
717.557,4.5,31.56,2.94,32.5
719.617,4.5,31.56,2.94,32.5
721.698,4.5,31.56,2.88,32.56
723.801,4.5,31.62,2.81,32.56
725.869,4.5,31.62,2.81,32.56
727.971,4.5,31.62,2.75,32.56
730.059,4.5,31.62,2.75,32.56
732.14,4.5,31.62,2.81,32.56
734.227,4.5,31.62,2.88,32.56
736.312,4.5,31.62,2.88,32.56
738.393,4.5,31.62,2.81,32.56
740.478,4.5,31.62,2.88,32.5
