Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,3.5,36.38,1.63,37.88
2.06,3.5,36.38,1.63,37.88
4.137,3.5,36.38,1.63,37.88
6.236,3.5,36.38,1.63,37.88
8.338,3.5,36.38,1.63,37.88
10.425,3.5,36.38,1.69,37.88
12.477,3.5,36.38,1.69,37.81
14.583,3.5,36.38,1.69,37.81
16.669,3.5,36.38,1.63,37.81
18.779,3.5,36.38,1.63,37.75
20.829,3.5,36.38,1.56,37.75
22.926,3.5,36.44,1.5,37.75
25.007,3.5,36.44,1.44,37.81
27.089,3.5,36.5,1.44,37.81
29.161,3.5,36.5,1.37,37.81
31.257,3.5,36.5,1.44,37.81
33.366,3.5,36.5,1.56,37.88
35.464,3.5,36.56,1.63,37.88
37.544,3.5,36.56,1.75,37.88
39.611,3.5,36.56,1.81,37.88
41.701,3.5,36.56,1.88,37.94
43.782,3.5,36.63,1.94,37.94
45.882,3.5,36.63,1.94,37.94
47.966,3.5,36.63,1.94,37.94
50.032,3.5,36.63,1.94,37.94
52.097,3.5,36.69,1.88,37.94
54.201,3.5,36.69,1.88,37.94
56.297,3.5,36.69,1.81,37.94
58.378,3.5,36.69,1.81,37.94
60.445,3.5,36.69,1.88,37.94
62.554,3.5,36.69,1.88,38.0
64.643,3.5,36.69,1.88,37.94
66.703,3.5,36.69,1.88,37.94
68.82,3.5,36.69,1.88,37.94
70.886,3.5,36.69,1.88,38.0
72.96,3.5,36.75,1.81,38.0
75.041,3.5,36.75,1.81,38.0
77.12,3.5,36.75,1.81,38.06
79.242,3.5,36.75,1.75,38.0
81.305,3.5,36.75,1.75,38.0
83.385,3.5,36.75,1.75,38.0
85.499,3.5,36.75,1.75,38.0
87.592,3.5,36.75,1.75,38.0
89.658,3.5,36.75,1.75,38.0
91.755,3.5,36.69,1.75,37.94
93.837,3.5,36.69,1.81,38.0
95.921,3.5,36.69,1.88,38.0
97.97,3.5,36.69,1.81,38.0
100.065,3.5,36.69,1.81,38.0
102.171,3.5,36.69,1.81,38.0
104.266,3.5,36.69,1.75,38.0
106.33,3.5,36.69,1.81,38.0
108.413,3.5,36.69,1.81,38.0
110.506,3.5,36.69,1.81,38.0
112.604,3.5,36.69,1.81,38.0
114.661,3.5,36.69,1.81,38.0
116.749,3.5,36.69,1.81,38.0
118.826,3.5,36.69,1.81,38.0
120.934,3.5,36.69,1.75,38.0
123.024,3.5,36.69,1.75,38.0
125.11,3.5,36.69,1.69,38.0
127.194,3.5,36.69,1.75,38.0
129.277,3.5,36.69,1.69,38.0
131.356,3.5,36.69,1.69,38.0
133.449,3.5,36.69,1.63,38.0
135.516,3.5,36.69,1.69,38.0
137.613,3.5,36.69,1.69,38.0
139.711,3.5,36.69,1.69,37.94
141.805,3.5,36.69,1.75,37.94
143.871,3.5,36.69,1.75,37.94
145.939,3.5,36.69,1.75,37.94
148.018,3.5,36.69,1.75,37.88
150.112,3.5,36.69,1.75,37.88
