Time1_[s],Voltage_10_A_[V],Shunt_10_A_[V],Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E_[V],MX1601_CH_11_[V],MX1601_CH_12_[V],MX1601_CH_13_[mA],MX1601_CH_14_[mA],Voltage_VarR_[V],Shunt_VarR_[V],Time2_[s],T5_cold_surf_B_[degC],T8_cold_surf_C_[degC],T2_hot_surf_C_[degC],T4_hot_surf_A_[degC],T3_hot_in_TEGs_[degC],T6_hot_surf_B_[degC],T7_cold_surf_A_[degC],T1_cold_in_TEGs_[degC],Current_A_[A],Power_A_[W],Current_B_[A],Power_B_[W],Current_C_[],Power_C_[],Current_D_[],Power_D_[],Current_E_[],Power_E_[],Current_VarR_[],Power_VarR_[],DT_surf_A_K],DT_surf_B_[],DT_surf_C_[]
0.00000,0.000,0.00019,-0.00026,-0.00028,-0.00037,-0.00029,-1.067,-0.2086,-1.054,-0.2057,-1000000,-1000000,-1000000,-1000000,0.3888,-0.1889,0.00000,5.445,4.387,35.22,36.49,39.68,35.78,4.709,-0.6364,0.00019,0.000,0.00028,0.000,0.00029,0.000,0.2086,0.2226,0.2057,0.2169,0.1889,0.07342,31.78,30.33,30.83
0.1000,0.000,0.00018,-0.00026,-0.00028,-0.00038,-0.00028,-1.067,-0.2086,-1.054,-0.2057,-1000000,-1000000,-1000000,-1000000,0.3888,-0.1889,0.1000,5.445,4.387,35.22,36.49,39.68,35.78,4.708,-0.6351,0.00018,0.000,0.00028,0.000,0.00028,0.000,0.2086,0.2226,0.2057,0.2169,0.1889,0.07342,31.78,30.33,30.84
0.2000,0.000,0.00017,-0.00026,-0.00027,-0.00038,-0.00029,-1.067,-0.2086,-1.054,-0.2057,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,0.2000,5.443,4.385,35.22,36.49,39.68,35.78,4.708,-0.6351,0.00017,0.000,0.00027,0.000,0.00029,0.000,0.2086,0.2226,0.2057,0.2169,0.1889,0.07344,31.78,30.34,30.84
0.3000,0.000,0.00018,-0.00025,-0.00027,-0.00038,-0.00030,-1.067,-0.2086,-1.054,-0.2057,-1000000,-1000000,-1000000,-1000000,0.3888,-0.1889,0.3000,5.442,4.384,35.22,36.49,39.68,35.78,4.708,-0.6356,0.00018,0.000,0.00027,0.000,0.00030,0.000,0.2086,0.2226,0.2057,0.2169,0.1889,0.07345,31.78,30.34,30.84
0.4000,0.000,0.00019,-0.00026,-0.00028,-0.00038,-0.00027,-1.067,-0.2086,-1.054,-0.2057,-1000000,-1000000,-1000000,-1000000,0.3888,-0.1889,0.4000,5.442,4.383,35.22,36.48,39.68,35.78,4.707,-0.6360,0.00019,0.000,0.00028,0.000,0.00027,0.000,0.2086,0.2226,0.2057,0.2169,0.1889,0.07345,31.78,30.34,30.84
0.5000,0.000,0.00019,-0.00026,-0.00028,-0.00039,-0.00026,-1.067,-0.2086,-1.054,-0.2058,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,0.5000,5.442,4.382,35.22,36.48,39.68,35.78,4.707,-0.6359,0.00019,0.000,0.00028,0.000,0.00026,0.000,0.2086,0.2226,0.2058,0.2169,0.1889,0.07344,31.78,30.34,30.84
0.6000,0.000,0.00019,-0.00027,-0.00028,-0.00039,-0.00026,-1.067,-0.2086,-1.054,-0.2057,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,0.6000,5.443,4.383,35.22,36.48,39.68,35.78,4.707,-0.6355,0.00019,0.000,0.00028,0.000,0.00026,0.000,0.2086,0.2226,0.2057,0.2169,0.1889,0.07344,31.78,30.34,30.84
0.7000,0.000,0.00018,-0.00028,-0.00028,-0.00038,-0.00026,-1.067,-0.2086,-1.054,-0.2058,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,0.7000,5.442,4.381,35.22,36.48,39.68,35.78,4.707,-0.6354,0.00018,0.000,0.00028,0.000,0.00026,0.000,0.2086,0.2226,0.2058,0.2169,0.1889,0.07344,31.78,30.34,30.84
0.8000,0.000,0.00019,-0.00027,-0.00029,-0.00038,-0.00028,-1.067,-0.2086,-1.054,-0.2058,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,0.8000,5.442,4.380,35.22,36.48,39.68,35.78,4.706,-0.6357,0.00019,0.000,0.00029,0.000,0.00028,0.000,0.2086,0.2226,0.2058,0.2169,0.1889,0.07344,31.78,30.34,30.84
0.9000,0.000,0.00019,-0.00027,-0.00029,-0.00038,-0.00028,-1.067,-0.2086,-1.054,-0.2058,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,0.9000,5.441,4.379,35.23,36.48,39.68,35.78,4.705,-0.6362,0.00019,0.000,0.00029,0.000,0.00028,0.000,0.2086,0.2226,0.2058,0.2169,0.1889,0.07344,31.78,30.34,30.85
1.000,0.000,0.00019,-0.00027,-0.00028,-0.00038,-0.00028,-1.067,-0.2086,-1.054,-0.2058,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,1.000,5.441,4.378,35.22,36.48,39.68,35.78,4.704,-0.6359,0.00019,0.000,0.00028,0.000,0.00028,0.000,0.2086,0.2226,0.2058,0.2169,0.1889,0.07344,31.78,30.34,30.85
1.100,0.000,0.00019,-0.00028,-0.00027,-0.00038,-0.00028,-1.067,-0.2086,-1.054,-0.2058,-1000000,-1000000,-1000000,-1000000,0.3887,-0.1889,1.100,5.442,4.376,35.23,36.49,39.68,35.78,4.704,-0.6363,0.00019,0.000,0.00027,0.000,0.00028,0.000,0.2086,0.2227,0.2058,0.2169,0.1889,0.07343,31.78,30.34,30.85
