Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,14.0,43.44,13.06,47.06
2.088,14.0,43.44,13.06,47.0
4.169,14.0,43.44,13.13,47.0
6.232,14.0,43.44,13.13,47.0
8.33,14.0,43.44,13.19,47.0
10.419,14.0,43.44,13.19,47.0
12.473,14.0,43.44,13.25,47.0
14.586,14.0,43.44,13.25,47.0
16.659,14.0,43.44,13.25,47.0
18.72,14.0,43.44,13.25,47.0
20.825,14.0,43.44,13.31,47.0
22.918,14.0,43.44,13.31,47.0
24.967,14.0,43.44,13.31,47.0
27.072,14.5,43.44,13.31,47.0
29.154,14.5,43.44,13.38,47.0
31.223,14.5,43.44,13.38,47.0
33.301,14.5,43.44,13.44,47.0
35.404,14.5,43.44,13.44,47.0
37.464,14.5,43.44,13.44,47.0
39.579,14.5,43.44,13.5,47.06
41.623,14.5,43.5,13.5,47.06
43.707,14.5,43.5,13.5,47.06
45.812,14.5,43.5,13.56,47.06
47.902,14.5,43.5,13.56,47.06
49.955,14.5,43.5,13.56,47.13
52.069,14.5,43.56,13.56,47.19
54.137,14.5,43.56,13.63,47.19
56.228,14.5,43.56,13.63,47.19
58.275,14.5,43.56,13.63,47.25
60.362,14.5,43.63,13.63,47.25
62.473,14.5,43.63,13.69,47.31
64.523,15.0,43.63,13.69,47.25
66.611,15.0,43.63,13.69,47.25
68.719,15.0,43.63,13.75,47.25
70.774,15.0,43.63,13.75,47.25
72.869,15.0,43.63,13.81,47.25
74.948,15.0,43.63,13.81,47.31
77.035,15.0,43.63,13.81,47.31
79.126,15.0,43.63,13.88,47.31
81.207,15.0,43.63,13.88,47.31
83.277,15.0,43.63,13.88,47.31
85.357,15.0,43.63,13.94,47.31
87.445,15.0,43.63,13.94,47.31
89.521,15.0,43.63,14.0,47.31
91.604,15.0,43.63,14.0,47.31
93.691,15.0,43.63,14.0,47.31
95.78,15.0,43.63,14.0,47.31
97.839,15.0,43.63,14.06,47.31
99.912,15.0,43.63,14.06,47.31
102.001,15.0,43.69,14.06,47.38
104.096,15.0,43.69,14.13,47.38
106.175,15.0,43.69,14.13,47.38
108.27,15.5,43.69,14.19,47.38
110.317,15.5,43.75,14.19,47.44
112.422,15.5,43.75,14.19,47.44
114.475,15.5,43.75,14.25,47.44
116.597,15.5,43.75,14.31,47.5
118.638,15.5,43.75,14.31,47.5
120.723,15.5,43.75,14.31,47.44
122.832,15.5,43.75,14.38,47.44
124.918,15.5,43.75,14.38,47.44
126.979,15.5,43.75,14.44,47.38
129.075,15.5,43.75,14.44,47.38
131.154,15.5,43.81,14.5,47.38
133.23,15.5,43.81,14.5,47.38
135.319,15.5,43.75,14.5,47.38
137.412,15.5,43.75,14.56,47.44
139.453,15.5,43.75,14.56,47.44
141.545,15.5,43.81,14.56,47.44
143.611,15.5,43.81,14.63,47.44
