Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,3.5,45.94,4.0,47.06
2.103,3.5,45.88,4.06,47.0
4.181,3.5,45.88,4.06,47.06
6.256,3.5,45.88,4.13,47.06
8.349,3.5,45.88,4.13,47.06
10.43,3.5,45.88,4.19,47.06
12.505,3.5,45.88,4.19,47.06
14.607,3.5,45.88,4.13,47.06
16.688,3.5,45.88,4.25,47.06
18.782,3.5,45.88,4.19,47.06
20.83,3.0,45.81,4.19,47.06
22.944,3.0,45.88,4.19,47.13
25.031,3.0,45.88,4.13,47.13
27.097,3.0,45.88,4.13,47.19
29.19,3.0,45.88,4.06,47.25
31.286,3.5,45.94,3.94,47.31
33.361,3.5,45.94,3.94,47.31
35.412,3.5,45.94,3.88,47.38
37.52,3.5,46.0,3.88,47.31
39.616,3.5,46.06,3.81,47.31
41.693,3.5,46.0,3.81,47.31
43.743,3.5,46.06,3.81,47.31
45.838,3.5,46.06,3.81,47.25
47.947,3.5,46.0,3.88,47.25
49.988,3.0,46.0,3.88,47.19
52.087,3.0,46.0,3.94,47.25
54.18,3.0,46.0,3.94,47.25
56.247,3.0,46.0,3.88,47.25
58.341,3.0,46.06,3.88,47.31
60.422,3.0,46.06,3.88,47.31
62.52,3.0,46.0,3.81,47.31
64.594,3.0,46.06,3.81,47.38
66.67,3.0,46.13,3.81,47.38
68.777,3.0,46.13,3.75,47.44
70.839,3.0,46.13,3.69,47.44
72.903,3.0,46.13,3.69,47.44
75.02,3.0,46.13,3.69,47.38
77.094,3.0,46.13,3.69,47.38
79.176,3.0,46.13,3.69,47.38
81.27,3.0,46.13,3.69,47.38
83.322,3.0,46.13,3.69,47.38
85.427,3.0,46.13,3.69,47.38
87.521,3.0,46.13,3.75,47.31
89.583,3.0,46.13,3.81,47.31
91.68,3.0,46.13,3.81,47.25
93.777,3.0,46.13,3.81,47.25
95.84,3.0,46.19,3.75,47.31
97.909,3.0,46.19,3.75,47.31
99.996,3.0,46.25,3.69,47.38
102.067,3.0,46.25,3.69,47.38
104.164,3.0,46.25,3.63,47.31
106.257,3.0,46.25,3.56,47.31
108.326,3.0,46.25,3.56,47.31
110.434,3.0,46.25,3.56,47.31
112.523,3.0,46.19,3.56,47.31
114.608,3.0,46.19,3.63,47.31
116.679,3.0,46.19,3.63,47.31
118.752,3.0,46.19,3.69,47.31
120.844,3.0,46.19,3.69,47.25
122.912,3.0,46.13,3.69,47.19
125.001,3.0,46.13,3.75,47.25
127.103,3.0,46.13,3.81,47.19
129.147,3.0,46.06,3.81,47.25
131.259,3.0,46.13,3.81,47.31
133.349,3.0,46.13,3.75,47.31
135.412,3.0,46.13,3.81,47.31
137.477,3.0,46.13,3.75,47.31
139.606,3.0,46.13,3.69,47.31
141.654,3.0,46.13,3.63,47.31
143.765,3.0,46.13,3.63,47.38
145.831,3.0,46.19,3.63,47.38
147.928,3.0,46.19,3.63,47.38
149.975,3.0,46.19,3.69,47.31
152.07,3.0,46.19,3.69,47.31
154.156,3.0,46.19,3.69,47.31
156.269,3.0,46.19,3.63,47.31
158.314,3.0,46.25,3.63,47.31
160.407,3.0,46.25,3.63,47.31
162.506,3.0,46.25,3.63,47.31
164.578,3.0,46.25,3.56,47.25
166.684,3.0,46.25,3.56,47.31
168.743,3.0,46.19,3.56,47.31
170.835,3.0,46.19,3.56,47.31
172.916,3.0,46.19,3.5,47.31
174.976,3.0,46.19,3.5,47.31
177.096,3.0,46.19,3.5,47.25
179.15,3.0,46.19,3.56,47.25
181.232,3.0,46.19,3.56,47.25
183.32,3.0,46.19,3.63,47.19
185.399,3.0,46.19,3.63,47.19
187.487,3.0,46.13,3.63,47.25
189.573,3.0,46.13,3.63,47.19
191.635,3.0,46.19,3.63,47.19
193.736,3.0,46.13,3.56,47.19
195.838,3.0,46.19,3.56,47.19
197.9,3.0,46.13,3.63,47.19
199.985,3.0,46.13,3.63,47.13
202.091,3.0,46.13,3.63,47.13
204.166,3.0,46.13,3.69,47.06
206.243,3.0,46.06,3.69,47.06
208.339,3.0,46.06,3.69,47.06
210.415,3.0,46.06,3.69,47.0
212.467,3.0,46.06,3.75,47.0
214.566,3.0,46.06,3.69,47.0
216.668,3.0,46.06,3.69,47.06
218.716,3.0,46.06,3.69,47.06
220.827,3.0,46.0,3.75,47.06
222.88,3.0,46.0,3.75,47.13
224.991,3.0,46.0,3.69,47.13
227.092,3.0,46.0,3.75,47.13
229.168,3.0,46.0,3.75,47.13
231.237,3.0,46.0,3.75,47.13
233.299,3.0,46.0,3.75,47.06
235.399,3.0,45.94,3.81,47.06
237.48,3.0,45.94,3.81,47.06
239.548,3.0,45.94,3.88,47.0
241.664,3.0,45.94,3.88,47.06
243.744,3.0,45.94,3.88,47.06
245.827,3.0,45.94,3.88,47.06
247.921,3.0,45.94,3.81,47.06
250.002,3.0,45.94,3.81,47.13
252.049,3.0,45.94,3.75,47.06
254.139,3.0,45.94,3.75,47.06
256.228,3.0,45.94,3.81,47.13
258.317,3.0,45.94,3.88,47.06
260.408,3.0,45.94,3.88,47.06
262.462,3.0,45.94,3.94,47.0
264.542,3.0,45.94,3.94,47.0
266.624,3.0,45.94,4.0,47.0
268.707,3.0,45.94,4.0,46.94
270.802,3.0,45.94,4.0,46.94
272.886,3.0,45.94,3.94,46.94
274.964,3.0,45.94,3.94,46.94
277.046,3.0,45.94,3.88,47.0
279.127,3.0,45.94,3.81,47.0
281.218,3.0,45.94,3.81,47.0
283.307,3.5,45.94,3.81,47.0
285.39,3.5,45.94,3.81,47.06
287.472,3.5,45.94,3.81,47.06
289.558,3.5,45.94,3.81,47.06
291.634,3.5,45.94,3.81,47.13
293.718,3.5,46.0,3.81,47.13
295.793,3.5,46.0,3.75,47.13
297.875,3.5,46.0,3.75,47.06
299.957,3.5,46.0,3.75,47.06
302.051,3.0,46.0,3.69,47.06
304.135,3.0,45.94,3.75,47.06
306.227,3.0,46.0,3.75,47.06
308.31,3.0,46.0,3.81,47.0
310.394,3.0,45.94,3.81,47.0
312.477,3.0,46.0,3.81,47.0
314.563,3.0,46.0,3.81,47.0
316.65,3.0,46.0,3.81,46.94
318.743,3.0,46.0,3.81,46.94
320.787,3.0,46.0,3.81,46.94
322.867,3.0,46.0,3.81,46.94
324.952,3.0,46.0,3.75,47.0
327.035,3.0,46.0,3.75,47.0
329.16,3.0,46.0,3.75,47.0
331.196,3.0,46.0,3.69,47.0
333.322,3.0,46.06,3.75,47.0
