Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,29.5,44.69,27.87,47.38
2.062,29.5,44.69,27.87,47.38
4.167,29.5,44.69,27.87,47.44
6.218,29.5,44.69,27.87,47.44
8.286,29.5,44.69,27.87,47.44
10.377,29.5,44.69,27.81,47.44
12.464,29.5,44.69,27.81,47.44
14.557,29.5,44.69,27.81,47.44
16.64,29.5,44.75,27.81,47.44
18.691,29.5,44.75,27.81,47.44
20.771,29.5,44.75,27.81,47.44
22.838,29.5,44.75,27.75,47.5
24.94,29.5,44.75,27.75,47.5
27.035,29.5,44.81,27.75,47.56
29.103,29.5,44.81,27.81,47.56
31.161,29.5,44.81,27.75,47.56
33.235,29.5,44.81,27.75,47.56
35.355,29.5,44.81,27.75,47.56
37.427,29.5,44.81,27.75,47.63
39.515,29.5,44.81,27.69,47.63
41.565,29.5,44.81,27.69,47.69
43.645,29.5,44.88,27.69,47.69
45.711,29.5,44.88,27.69,47.75
47.812,29.5,44.88,27.62,47.81
49.881,29.5,44.88,27.69,47.81
51.992,29.5,44.88,27.62,47.81
54.054,29.5,44.88,27.62,47.81
56.135,29.5,44.88,27.62,47.81
58.194,29.5,44.88,27.62,47.75
60.295,29.5,44.88,27.62,47.75
62.381,29.0,44.88,27.62,47.75
64.436,29.5,44.88,27.62,47.69
66.538,29.5,44.81,27.56,47.69
68.59,29.5,44.81,27.56,47.69
70.687,29.0,44.81,27.56,47.63
72.766,29.0,44.81,27.56,47.56
74.842,29.0,44.75,27.56,47.56
76.913,29.0,44.75,27.56,47.56
79.021,29.0,44.75,27.5,47.5
81.09,29.0,44.69,27.56,47.5
83.143,29.0,44.69,27.5,47.44
85.248,29.0,44.69,27.56,47.44
87.297,29.0,44.63,27.5,47.44
89.388,29.0,44.63,27.5,47.44
91.483,29.0,44.63,27.5,47.38
93.542,29.0,44.63,27.5,47.38
95.64,29.0,44.63,27.5,47.31
97.701,29.0,44.56,27.5,47.31
99.802,29.0,44.56,27.5,47.31
101.87,29.0,44.56,27.44,47.31
103.955,29.0,44.56,27.44,47.31
106.029,29.0,44.56,27.44,47.31
108.137,29.0,44.56,27.44,47.31
110.195,29.0,44.56,27.44,47.31
112.266,29.0,44.56,27.44,47.31
114.384,29.0,44.56,27.44,47.38
116.456,29.0,44.56,27.44,47.38
118.511,29.0,44.56,27.37,47.31
120.584,29.0,44.56,27.37,47.31
122.67,29.0,44.56,27.37,47.31
124.75,29.0,44.56,27.37,47.31
126.813,29.0,44.56,27.37,47.25
128.905,29.0,44.56,27.37,47.25
131.001,29.0,44.56,27.37,47.25
133.052,29.0,44.56,27.31,47.31
135.165,29.0,44.56,27.31,47.31
137.207,29.0,44.56,27.31,47.31
139.287,29.0,44.56,27.31,47.31
141.376,29.0,44.56,27.31,47.31
143.486,29.0,44.56,27.31,47.31
145.533,29.0,44.56,27.31,47.31
147.625,29.0,44.56,27.25,47.31
149.72,29.0,44.56,27.31,47.31
151.769,29.0,44.56,27.25,47.25
153.857,29.0,44.56,27.25,47.25
155.962,29.0,44.56,27.25,47.25
158.043,29.0,44.5,27.25,47.25
160.11,29.0,44.5,27.25,47.19
162.202,29.0,44.5,27.25,47.19
164.265,29.0,44.5,27.19,47.25
166.362,29.0,44.5,27.19,47.25
168.409,28.5,44.5,27.19,47.19
170.512,28.5,44.5,27.19,47.25
172.555,28.5,44.5,27.19,47.19
174.664,28.5,44.44,27.19,47.25
176.755,29.0,44.5,27.19,47.25
178.816,28.5,44.5,27.19,47.25
180.899,28.5,44.5,27.19,47.19
182.96,28.5,44.5,27.19,47.25
185.066,28.5,44.5,27.19,47.25
187.12,28.5,44.5,27.19,47.19
189.23,28.5,44.5,27.12,47.25
191.283,28.5,44.5,27.12,47.25
193.366,28.5,44.56,27.12,47.31
195.465,28.5,44.56,27.12,47.31
197.513,28.5,44.56,27.12,47.38
199.62,28.5,44.63,27.12,47.38
201.714,28.5,44.63,27.12,47.38
203.766,28.5,44.69,27.06,47.44
205.858,28.5,44.69,27.06,47.44
207.952,28.5,44.69,27.06,47.44
210.032,28.5,44.69,27.06,47.5
212.082,28.5,44.69,27.06,47.5
214.18,28.5,44.75,27.06,47.5
216.255,28.5,44.75,27.06,47.5
218.349,28.5,44.75,27.0,47.5
220.415,28.5,44.75,27.0,47.56
222.476,28.5,44.75,27.0,47.56
224.571,28.5,44.75,27.0,47.5
226.663,28.5,44.75,27.0,47.5
228.713,28.5,44.69,27.0,47.5
230.779,28.5,44.75,26.94,47.5
232.886,28.5,44.69,26.94,47.5
234.98,28.5,44.69,26.94,47.5
237.038,28.5,44.69,26.94,47.5
239.142,28.5,44.69,26.94,47.5
241.219,28.5,44.69,26.94,47.5
243.271,28.5,44.69,26.94,47.44
245.367,28.5,44.69,26.94,47.44
247.455,28.5,44.63,26.94,47.44
249.504,28.5,44.63,26.87,47.44
251.61,28.5,44.69,26.87,47.44
253.662,28.5,44.63,26.87,47.44
255.738,28.5,44.63,26.87,47.44
