Time1_[s],Voltage_10_A_[V],Shunt_10_A_[V],Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E_[V],Voltage_VarR_[V],Shunt_VarR_[V],Time2_[s],T5_cold_surf_B_[degC],T8_cold_surf_C_[degC],T2_hot_surf_C_[degC],T4_hot_surf_A_[degC],T3_hot_in_TEGs_[degC],T6_hot_surf_B_[degC],T7_cold_surf_A_[degC],T1_cold_in_TEGs_[degC],Current_A_[A],Power_A_[W],Current_B_[A],Power_B_[W],Current_C_[],Power_C_[],Current_D_[],Power_D_[],Current_E_[],Power_E_[],Current_VarR_[],Power_VarR_[],DT_surf_A_K],DT_surf_B_[],DT_surf_C_[]
0,-0.000022,0.00022,-0.00035,-0.00029,-0.00038,-0.00028,0.8697,0.1707,1.010,0.1983,0.7912,-0.2506,0,18.41,17.59,44.90,47.33,51.53,46.07,18.59,14.56,0.00022,4.70e-9,0.00029,1.01e-7,0.00028,1.06e-7,0.1707,0.1484,0.1983,0.2003,0.2506,0.1983,28.74,27.66,27.31
0.1000,-0.000014,0.00022,-0.00035,-0.00029,-0.00038,-0.00028,0.8698,0.1707,1.010,0.1983,0.7912,-0.2506,0.1000,18.41,17.59,44.90,47.33,51.54,46.07,18.59,14.56,0.00022,3.20e-9,0.00029,1.03e-7,0.00028,1.06e-7,0.1707,0.1484,0.1983,0.2003,0.2506,0.1983,28.74,27.66,27.31
0.2000,-0.000019,0.00021,-0.00036,-0.00029,-0.00039,-0.00028,0.8698,0.1707,1.010,0.1983,0.7913,-0.2505,0.2000,18.41,17.59,44.90,47.33,51.54,46.07,18.59,14.56,0.00021,4.00e-9,0.00029,1.06e-7,0.00028,1.08e-7,0.1707,0.1485,0.1983,0.2003,0.2505,0.1982,28.74,27.67,27.31
0.3000,-0.000017,0.00021,-0.00036,-0.00029,-0.00039,-0.00028,0.8698,0.1707,1.010,0.1983,0.7913,-0.2505,0.3000,18.41,17.59,44.90,47.33,51.53,46.07,18.58,14.56,0.00021,3.59e-9,0.00029,1.06e-7,0.00028,1.09e-7,0.1707,0.1485,0.1983,0.2003,0.2505,0.1982,28.74,27.66,27.31
0.4000,-0.000014,0.00020,-0.00036,-0.00029,-0.00038,-0.00029,0.8698,0.1707,1.010,0.1983,0.7913,-0.2505,0.4000,18.41,17.59,44.90,47.32,51.54,46.07,18.58,14.56,0.00020,2.89e-9,0.00029,1.04e-7,0.00029,1.10e-7,0.1707,0.1485,0.1983,0.2003,0.2505,0.1983,28.74,27.67,27.31
0.5000,-0.000013,0.00022,-0.00036,-0.00030,-0.00039,-0.00029,0.8699,0.1707,1.010,0.1983,0.7913,-0.2506,0.5000,18.41,17.59,44.90,47.32,51.54,46.07,18.58,14.56,0.00022,2.80e-9,0.00030,1.08e-7,0.00029,1.13e-7,0.1707,0.1485,0.1983,0.2003,0.2506,0.1983,28.74,27.67,27.31
0.6000,-0.000016,0.00021,-0.00036,-0.00030,-0.00039,-0.00029,0.8699,0.1707,1.010,0.1984,0.7913,-0.2506,0.6000,18.41,17.59,44.91,47.33,51.54,46.07,18.58,14.56,0.00021,3.40e-9,0.00030,1.08e-7,0.00029,1.12e-7,0.1707,0.1485,0.1984,0.2004,0.2506,0.1983,28.74,27.67,27.31
0.7000,-0.000017,0.00022,-0.00036,-0.00029,-0.00038,-0.00027,0.8699,0.1707,1.010,0.1984,0.7913,-0.2506,0.7000,18.41,17.59,44.91,47.33,51.54,46.07,18.58,14.55,0.00022,3.86e-9,0.00029,1.06e-7,0.00027,1.01e-7,0.1707,0.1485,0.1984,0.2004,0.2506,0.1983,28.74,27.67,27.31
0.8000,-0.000022,0.00022,-0.00036,-0.00029,-0.00037,-0.00027,0.8699,0.1707,1.010,0.1984,0.7913,-0.2506,0.8000,18.41,17.59,44.91,47.32,51.54,46.07,18.58,14.55,0.00022,4.70e-9,0.00029,1.04e-7,0.00027,1.03e-7,0.1707,0.1485,0.1984,0.2004,0.2506,0.1983,28.74,27.67,27.32
0.9000,-0.000026,0.00021,-0.00036,-0.00029,-0.00039,-0.00028,0.8699,0.1707,1.010,0.1984,0.7914,-0.2506,0.9000,18.41,17.59,44.91,47.32,51.54,46.07,18.58,14.55,0.00021,5.46e-9,0.00029,1.07e-7,0.00028,1.09e-7,0.1707,0.1485,0.1984,0.2004,0.2506,0.1983,28.74,27.67,27.32
