Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,0.5,27.75,-1.31,28.44
2.109,0.5,27.81,-1.31,28.44
4.167,1.0,27.81,-1.31,28.44
6.257,1.0,27.81,-1.31,28.44
8.362,1.0,27.81,-1.31,28.44
10.456,1.0,27.81,-1.31,28.5
12.541,1.0,27.81,-1.31,28.5
14.609,1.0,27.81,-1.31,28.5
16.716,1.0,27.81,-1.31,28.44
18.777,1.0,27.81,-1.31,28.5
20.897,1.0,27.81,-1.31,28.5
22.977,1.0,27.81,-1.31,28.5
25.066,1.0,27.81,-1.37,28.5
27.128,1.0,27.81,-1.31,28.5
29.247,1.0,27.81,-1.37,28.5
31.31,1.0,27.81,-1.37,28.5
33.397,1.0,27.81,-1.37,28.5
35.504,1.0,27.81,-1.37,28.5
37.566,1.0,27.81,-1.37,28.44
39.669,1.0,27.87,-1.44,28.5
41.765,1.0,27.81,-1.44,28.5
43.838,1.0,27.81,-1.37,28.5
45.917,1.0,27.81,-1.37,28.5
48.032,1.0,27.81,-1.37,28.56
50.097,1.0,27.81,-1.44,28.56
52.193,1.0,27.87,-1.44,28.62
54.294,1.0,27.87,-1.44,28.62
56.379,1.0,27.87,-1.44,28.69
58.43,1.0,27.94,-1.44,28.69
60.553,1.0,27.94,-1.44,28.75
62.649,1.0,27.94,-1.44,28.81
64.727,1.0,28.0,-1.44,28.87
66.79,1.0,28.06,-1.44,28.94
68.912,1.0,28.12,-1.37,29.06
70.991,1.0,28.19,-1.37,29.12
73.08,1.0,28.25,-1.44,29.25
75.159,1.0,28.31,-1.37,29.37
77.254,1.0,28.37,-1.37,29.44
79.333,1.0,28.44,-1.37,29.56
81.394,1.0,28.56,-1.37,29.69
83.504,1.0,28.62,-1.37,29.75
85.588,1.0,28.75,-1.37,29.94
87.698,1.0,28.81,-1.37,30.06
89.755,1.0,28.94,-1.37,30.19
91.834,0.5,29.06,-1.37,30.31
93.944,0.5,29.19,-1.37,30.5
96.016,1.0,29.31,-1.37,30.62
98.088,1.0,29.44,-1.37,30.81
100.206,1.0,29.56,-1.37,30.94
102.309,1.0,29.69,-1.37,31.12
104.36,1.0,29.81,-1.37,31.25
106.463,1.0,29.94,-1.37,31.44
108.533,1.0,30.12,-1.44,31.62
110.62,1.0,30.25,-1.44,31.81
112.702,1.0,30.44,-1.44,32.0
114.801,1.0,30.56,-1.44,32.13
116.871,1.0,30.75,-1.44,32.31
118.991,1.0,30.87,-1.44,32.5
121.077,1.0,31.0,-1.44,32.69
123.14,1.0,31.19,-1.44,32.88
125.26,1.0,31.37,-1.44,33.06
127.338,1.0,31.56,-1.44,33.25
129.407,1.0,31.69,-1.44,33.44
131.521,1.0,31.87,-1.44,33.63
133.575,1.0,32.06,-1.44,33.88
135.656,1.0,32.25,-1.44,34.0
137.773,1.0,32.44,-1.44,34.25
139.855,1.0,32.63,-1.44,34.44
141.91,1.0,32.81,-1.44,34.63
144.037,1.0,32.94,-1.44,34.81
146.091,1.0,33.13,-1.37,35.0
148.209,1.0,33.31,-1.37,35.19
150.272,1.0,33.56,-1.37,35.44
152.339,1.0,33.75,-1.31,35.63
154.428,1.0,33.94,-1.31,35.81
156.536,1.0,34.13,-1.31,36.0
158.6,1.0,34.31,-1.31,36.25
160.718,1.0,34.5,-1.25,36.44
162.774,1.0,34.69,-1.25,36.69
164.88,1.0,34.88,-1.25,36.88
166.953,1.0,35.06,-1.25,37.06
169.025,1.0,35.31,-1.25,37.31
171.14,1.0,35.5,-1.19,37.5
173.214,1.0,35.69,-1.19,37.69
175.295,1.0,35.88,-1.19,37.94
177.367,1.0,36.06,-1.19,38.13
179.479,1.0,36.25,-1.12,38.31
181.55,1.0,36.44,-1.12,38.56
183.662,1.0,36.63,-1.12,38.75
185.712,1.0,36.88,-1.12,38.94
187.822,1.0,37.06,-1.12,39.19
189.909,1.0,37.25,-1.12,39.38
191.989,1.0,37.44,-1.12,39.63
194.076,1.0,37.63,-1.12,39.81
196.154,1.0,37.88,-1.12,40.06
198.223,1.0,38.06,-1.06,40.31
200.304,1.0,38.25,-1.12,40.5
202.429,1.0,38.44,-1.06,40.69
204.5,1.0,38.69,-1.06,40.88
206.574,1.0,38.88,-1.06,41.13
208.646,1.0,39.06,-1.06,41.31
210.755,1.0,39.25,-1.06,41.5
212.83,1.0,39.44,-1.0,41.75
214.921,1.0,39.63,-1.0,41.94
216.99,1.0,39.81,-1.0,42.19
219.086,1.0,40.06,-0.94,42.44
221.159,1.0,40.25,-0.94,42.69
223.252,1.0,40.44,-0.94,42.88
225.361,1.0,40.63,-0.94,43.06
227.417,1.0,40.81,-0.94,43.31
229.505,1.0,41.0,-0.88,43.56
231.617,1.0,41.19,-0.88,43.75
233.676,1.0,41.38,-0.94,43.94
235.786,1.0,41.56,-0.88,44.13
237.83,1.0,41.75,-0.94,44.31
239.941,1.0,42.0,-0.88,44.5
242.04,1.0,42.19,-0.88,44.75
244.1,1.0,42.38,-0.88,44.94
246.209,1.0,42.56,-0.88,45.19
248.254,1.0,42.75,-0.88,45.44
250.358,1.0,42.94,-0.88,45.63
252.421,1.0,43.13,-0.88,45.81
254.522,1.0,43.31,-0.88,46.06
256.627,1.0,43.56,-0.88,46.25
258.693,1.0,43.75,-0.88,46.5
260.766,1.0,43.94,-0.88,46.69
262.878,1.0,44.13,-0.81,46.88
264.952,1.5,44.31,-0.81,47.06
267.031,1.5,44.5,-0.81,47.25
269.118,1.5,44.75,-0.81,47.5
271.2,1.5,44.94,-0.81,47.69
273.271,1.5,45.06,-0.81,47.94
275.381,1.5,45.25,-0.81,48.13
277.462,1.5,45.44,-0.81,48.31
279.554,1.5,45.63,-0.81,48.5
281.628,1.5,45.81,-0.81,48.69
283.692,1.5,46.0,-0.81,48.88
285.768,1.5,46.19,-0.81,49.06
287.878,1.5,46.38,-0.81,49.25
289.945,1.5,46.56,-0.81,49.44
292.026,1.5,46.69,-0.81,49.63
294.096,1.5,46.88,-0.81,49.88
296.207,1.5,47.06,-0.81,50.06
298.279,1.5,47.25,-0.81,50.25
300.359,1.5,47.38,-0.81,50.5
302.448,1.5,47.56,-0.81,50.69
304.527,1.5,47.75,-0.81,50.88
306.628,1.5,47.94,-0.81,51.06
308.723,1.5,48.13,-0.81,51.31
310.784,1.5,48.25,-0.81,51.5
312.846,1.5,48.5,-0.81,51.69
314.956,1.5,48.63,-0.88,51.88
317.028,2.0,48.88,-0.88,52.06
319.128,2.0,49.06,-0.88,52.31
321.215,2.0,49.19,-0.88,52.5
323.301,2.0,49.38,-0.88,52.69
325.388,2.0,49.56,-0.88,52.81
327.44,2.0,49.75,-0.81,53.06
329.558,2.0,49.94,-0.81,53.25
331.611,2.0,50.06,-0.81,53.44
333.699,2.0,50.25,-0.81,53.69
335.809,2.0,50.38,-0.75,53.94
337.873,2.0,50.56,-0.81,54.06
339.937,2.0,50.75,-0.75,54.31
342.057,2.0,50.94,-0.81,54.44
344.122,2.0,51.13,-0.81,54.69
346.217,2.0,51.31,-0.75,54.88
348.294,2.0,51.44,-0.75,55.06
350.356,2.0,51.69,-0.75,55.25
352.465,2.0,51.88,-0.75,55.44
354.541,2.0,52.0,-0.69,55.56
356.615,2.0,52.19,-0.69,55.75
358.694,2.0,52.38,-0.69,55.94
360.78,2.0,52.56,-0.63,56.13
362.853,2.0,52.75,-0.63,56.31
364.962,2.0,52.94,-0.63,56.5
367.026,2.0,53.06,-0.63,56.69
369.097,2.0,53.25,-0.63,56.81
371.173,2.0,53.44,-0.56,57.0
373.297,2.0,53.63,-0.56,57.19
375.34,2.0,53.75,-0.56,57.38
377.46,2.0,54.0,-0.56,57.56
379.547,2.0,54.13,-0.5,57.75
381.618,2.0,54.31,-0.5,57.94
383.712,2.0,54.44,-0.5,58.13
385.781,2.0,54.63,-0.5,58.25
387.849,2.0,54.81,-0.5,58.44
389.92,2.0,55.0,-0.44,58.63
392.032,2.0,55.19,-0.44,58.75
394.119,2.0,55.31,-0.44,58.94
396.182,2.0,55.5,-0.44,59.13
398.263,2.0,55.69,-0.44,59.31
400.342,2.0,55.88,-0.44,59.44
402.449,2.0,56.06,-0.37,59.63
404.513,2.0,56.19,-0.37,59.81
406.6,2.0,56.38,-0.37,60.0
408.662,2.0,56.5,-0.37,60.13
410.783,2.0,56.69,-0.37,60.25
412.869,2.0,56.88,-0.37,60.44
414.938,2.0,57.06,-0.31,60.56
417.001,2.0,57.19,-0.31,60.81
419.113,2.0,57.38,-0.31,61.0
421.191,2.0,57.5,-0.31,61.19
423.268,2.5,57.69,-0.31,61.38
425.347,2.5,57.81,-0.31,61.56
