Time_1HZ, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
2023-11-07 12:49:18,0.5,27.75,-1.31,28.44
2023-11-07 12:49:19,0.5,27.78,-1.31,28.44
2023-11-07 12:49:20,0.5,27.81,-1.31,28.44
2023-11-07 12:49:21,0.75,27.81,-1.31,28.44
2023-11-07 12:49:22,1.0,27.81,-1.31,28.44
2023-11-07 12:49:23,1.0,27.81,-1.31,28.44
2023-11-07 12:49:24,1.0,27.81,-1.31,28.44
2023-11-07 12:49:25,1.0,27.81,-1.31,28.44
2023-11-07 12:49:26,1.0,27.81,-1.31,28.44
2023-11-07 12:49:27,1.0,27.81,-1.31,28.47
2023-11-07 12:49:28,1.0,27.81,-1.31,28.5
2023-11-07 12:49:29,1.0,27.81,-1.31,28.5
2023-11-07 12:49:30,1.0,27.81,-1.31,28.5
2023-11-07 12:49:31,1.0,27.81,-1.31,28.5
2023-11-07 12:49:32,1.0,27.81,-1.31,28.5
2023-11-07 12:49:33,1.0,27.81,-1.31,28.47
2023-11-07 12:49:34,1.0,27.81,-1.31,28.44
2023-11-07 12:49:35,1.0,27.81,-1.31,28.47
2023-11-07 12:49:36,1.0,27.81,-1.31,28.5
2023-11-07 12:49:37,1.0,27.81,-1.31,28.5
2023-11-07 12:49:38,1.0,27.81,-1.31,28.5
2023-11-07 12:49:39,1.0,27.81,-1.31,28.5
2023-11-07 12:49:40,1.0,27.81,-1.31,28.5
2023-11-07 12:49:41,1.0,27.81,-1.33,28.5
2023-11-07 12:49:42,1.0,27.81,-1.35,28.5
2023-11-07 12:49:43,1.0,27.81,-1.37,28.5
2023-11-07 12:49:44,1.0,27.81,-1.34,28.5
2023-11-07 12:49:45,1.0,27.81,-1.31,28.5
2023-11-07 12:49:46,1.0,27.81,-1.34,28.5
2023-11-07 12:49:47,1.0,27.81,-1.37,28.5
2023-11-07 12:49:48,1.0,27.81,-1.37,28.5
2023-11-07 12:49:49,1.0,27.81,-1.37,28.5
2023-11-07 12:49:50,1.0,27.81,-1.37,28.5
2023-11-07 12:49:51,1.0,27.81,-1.37,28.5
2023-11-07 12:49:52,1.0,27.81,-1.37,28.5
2023-11-07 12:49:53,1.0,27.81,-1.37,28.5
2023-11-07 12:49:54,1.0,27.81,-1.37,28.47
2023-11-07 12:49:55,1.0,27.81,-1.37,28.44
2023-11-07 12:49:56,1.0,27.84,-1.405,28.47
2023-11-07 12:49:57,1.0,27.87,-1.44,28.5
2023-11-07 12:49:58,1.0,27.84,-1.44,28.5
2023-11-07 12:49:59,1.0,27.81,-1.44,28.5
2023-11-07 12:50:00,1.0,27.81,-1.405,28.5
2023-11-07 12:50:01,1.0,27.81,-1.37,28.5
2023-11-07 12:50:02,1.0,27.81,-1.37,28.5
2023-11-07 12:50:03,1.0,27.81,-1.37,28.5
2023-11-07 12:50:04,1.0,27.81,-1.37,28.52
2023-11-07 12:50:05,1.0,27.81,-1.37,28.54
2023-11-07 12:50:06,1.0,27.81,-1.37,28.56
2023-11-07 12:50:07,1.0,27.81,-1.405,28.56
2023-11-07 12:50:08,1.0,27.81,-1.44,28.56
2023-11-07 12:50:09,1.0,27.84,-1.44,28.59
2023-11-07 12:50:10,1.0,27.87,-1.44,28.62
2023-11-07 12:50:11,1.0,27.87,-1.44,28.62
2023-11-07 12:50:12,1.0,27.87,-1.44,28.62
