Time_1HZ,RPS_Cold,RPS_Hot
2023-11-07 12:49:18,4,3
2023-11-07 12:49:19,3,3
2023-11-07 12:49:20,4,4
2023-11-07 12:49:21,3,3
2023-11-07 12:49:22,4,3
2023-11-07 12:49:23,3,4
2023-11-07 12:49:24,4,3
2023-11-07 12:49:25,3,3
2023-11-07 12:49:26,4,3
2023-11-07 12:49:27,3,4
2023-11-07 12:49:28,4,3
2023-11-07 12:49:29,4,3
2023-11-07 12:49:30,3,4
2023-11-07 12:49:31,4,3
2023-11-07 12:49:32,3,4
2023-11-07 12:49:33,4,3
2023-11-07 12:49:34,3,3
2023-11-07 12:49:35,4,4
2023-11-07 12:49:36,3,3
2023-11-07 12:49:37,4,3
2023-11-07 12:49:38,3,4
2023-11-07 12:49:39,4,3
2023-11-07 12:49:40,3,3
2023-11-07 12:49:41,4,4
2023-11-07 12:49:42,3,3
2023-11-07 12:49:43,4,4
2023-11-07 12:49:44,3,3
2023-11-07 12:49:45,4,3
2023-11-07 12:49:46,4,4
2023-11-07 12:49:47,3,3
2023-11-07 12:49:48,4,3
2023-11-07 12:49:49,3,4
2023-11-07 12:49:50,4,3
2023-11-07 12:49:51,3,3
2023-11-07 12:49:52,4,4
2023-11-07 12:49:53,3,3
2023-11-07 12:49:54,4,4
2023-11-07 12:49:55,3,3
2023-11-07 12:49:56,4,3
2023-11-07 12:49:57,3,4
2023-11-07 12:49:58,4,3
2023-11-07 12:49:59,3,3
2023-11-07 12:50:00,4,4
2023-11-07 12:50:01,4,3
2023-11-07 12:50:02,3,4
2023-11-07 12:50:03,4,3
2023-11-07 12:50:04,3,4
2023-11-07 12:50:05,4,3
2023-11-07 12:50:06,3,4
2023-11-07 12:50:07,4,3
2023-11-07 12:50:08,3,4
2023-11-07 12:50:09,4,3
2023-11-07 12:50:10,3,4
2023-11-07 12:50:11,4,3
2023-11-07 12:50:12,3,4
2023-11-07 12:50:13,4,3
2023-11-07 12:50:14,3,4
2023-11-07 12:50:15,4,3
2023-11-07 12:50:16,4,4
2023-11-07 12:50:17,3,4
