Time, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
0.0,2.0,27.87,-1.0,28.62
2.078,2.0,27.87,-1.0,28.62
4.196,2.0,27.87,-1.0,28.62
6.293,2.0,27.87,-0.94,28.62
8.358,2.0,27.87,-1.0,28.62
10.456,2.0,27.87,-0.94,28.62
12.528,2.0,27.87,-0.94,28.62
14.609,2.0,27.87,-0.94,28.62
16.727,2.0,27.87,-0.88,28.62
18.79,2.0,27.87,-0.88,28.62
20.862,2.0,27.87,-0.88,28.62
22.989,2.0,27.87,-0.88,28.62
25.056,2.0,27.87,-0.88,28.62
27.162,2.0,27.87,-0.88,28.56
29.247,2.0,27.87,-0.88,28.56
31.314,2.0,27.87,-0.88,28.62
33.385,2.0,27.87,-0.88,28.56
35.496,2.0,27.87,-0.88,28.62
37.567,2.0,27.87,-0.88,28.56
39.685,2.0,27.87,-0.88,28.56
41.757,2.0,27.81,-0.88,28.56
43.867,2.0,27.87,-0.88,28.56
45.938,2.0,27.87,-0.88,28.56
48.017,2.0,27.87,-0.88,28.62
50.104,1.5,27.87,-0.88,28.62
52.183,1.5,27.87,-0.88,28.56
54.3,1.5,27.87,-0.88,28.56
56.364,1.5,27.87,-0.88,28.56
58.439,1.5,27.87,-0.81,28.56
60.557,1.5,27.87,-0.81,28.62
62.653,1.5,27.87,-0.81,28.56
64.72,1.5,27.81,-0.81,28.56
66.811,1.5,27.81,-0.81,28.56
68.886,1.5,27.81,-0.81,28.56
70.984,1.5,27.81,-0.81,28.56
73.069,1.5,27.81,-0.75,28.56
75.134,1.5,27.81,-0.75,28.56
77.252,1.5,27.81,-0.75,28.56
79.351,1.5,27.81,-0.75,28.56
81.438,1.5,27.81,-0.69,28.56
83.501,1.5,27.81,-0.75,28.56
85.608,1.5,27.81,-0.69,28.56
87.673,1.5,27.81,-0.69,28.56
89.76,1.5,27.81,-0.69,28.56
91.857,1.5,27.87,-0.69,28.5
93.926,1.5,27.81,-0.69,28.5
96.036,1.5,27.81,-0.69,28.5
98.109,1.5,27.81,-0.69,28.5
100.189,1.5,27.81,-0.69,28.5
102.284,1.5,27.81,-0.69,28.44
104.364,1.5,27.81,-0.69,28.5
106.469,1.5,27.81,-0.63,28.5
108.534,1.5,27.81,-0.69,28.5
110.644,1.5,27.81,-0.69,28.5
112.718,1.5,27.81,-0.69,28.5
114.798,1.5,27.81,-0.69,28.5
116.917,1.5,27.81,-0.69,28.5
118.997,1.5,27.81,-0.69,28.5
121.068,1.5,27.81,-0.69,28.56
123.18,1.5,27.81,-0.75,28.5
125.257,1.5,27.81,-0.75,28.5
127.335,1.5,27.87,-0.75,28.5
129.405,1.5,27.81,-0.69,28.5
131.519,1.0,27.81,-0.69,28.5
133.608,1.0,27.87,-0.69,28.5
135.673,1.0,27.81,-0.69,28.5
137.785,1.0,27.81,-0.69,28.5
139.848,1.0,27.87,-0.69,28.5
141.951,1.0,27.87,-0.69,28.5
144.015,1.0,27.81,-0.69,28.56
146.137,1.0,27.81,-0.69,28.56
148.216,1.0,27.87,-0.69,28.56
150.29,1.0,27.87,-0.69,28.5
152.401,1.0,27.81,-0.69,28.5
154.474,1.0,27.81,-0.69,28.56
156.586,1.0,27.87,-0.69,28.56
158.667,1.0,27.87,-0.69,28.56
160.729,1.0,27.87,-0.69,28.56
162.835,1.0,27.87,-0.69,28.56
164.897,1.0,27.87,-0.69,28.56
166.977,1.0,27.87,-0.69,28.56
169.095,1.0,27.87,-0.69,28.56
171.189,1.0,27.87,-0.69,28.56
173.263,1.0,27.87,-0.69,28.56
175.342,1.5,27.87,-0.69,28.56
177.453,1.5,27.87,-0.69,28.56
179.518,1.5,27.87,-0.69,28.56
181.588,1.5,27.87,-0.69,28.56
183.716,1.5,27.81,-0.69,28.56
185.773,1.5,27.87,-0.69,28.56
187.868,1.5,27.87,-0.63,28.56
189.94,1.5,27.87,-0.63,28.56
192.038,1.5,27.87,-0.69,28.56
194.157,1.5,27.87,-0.63,28.56
196.235,1.5,27.87,-0.69,28.56
198.297,1.5,27.87,-0.69,28.56
200.408,1.5,27.87,-0.69,28.56
202.481,1.5,27.87,-0.75,28.56
204.56,1.5,27.87,-0.75,28.56
206.638,1.5,27.87,-0.75,28.56
208.748,1.5,27.87,-0.75,28.56
210.821,1.5,27.87,-0.75,28.62
212.932,1.5,27.87,-0.81,28.56
215.017,1.5,27.87,-0.81,28.56
217.096,1.5,27.87,-0.81,28.56
219.204,1.5,27.87,-0.75,28.56
221.28,1.5,27.87,-0.75,28.56
223.37,1.5,27.87,-0.75,28.56
225.441,1.5,27.94,-0.75,28.56
227.519,1.5,27.87,-0.75,28.56
229.613,1.0,27.87,-0.75,28.56
231.694,1.0,27.87,-0.75,28.56
233.813,1.0,27.87,-0.75,28.56
235.894,1.0,27.87,-0.75,28.56
237.968,1.5,27.87,-0.75,28.56
240.048,1.5,27.87,-0.75,28.56
242.167,1.5,27.87,-0.69,28.56
244.232,1.5,27.87,-0.69,28.56
246.3,1.5,27.87,-0.69,28.56
248.426,1.5,27.87,-0.75,28.56
250.483,1.5,27.94,-0.69,28.56
252.594,1.5,27.87,-0.69,28.56
254.667,1.5,27.94,-0.69,28.56
256.766,1.5,27.94,-0.69,28.56
258.853,1.5,27.94,-0.69,28.56
260.917,1.5,27.94,-0.69,28.56
263.034,1.5,27.94,-0.69,28.56
265.114,1.5,27.94,-0.69,28.56
267.188,1.5,27.94,-0.69,28.56
269.299,1.5,27.94,-0.75,28.56
271.374,1.5,27.94,-0.75,28.56
273.434,1.5,27.94,-0.75,28.56
275.531,1.5,27.94,-0.75,28.56
277.62,1.5,27.94,-0.75,28.56
279.731,1.5,27.94,-0.75,28.56
281.795,1.5,27.94,-0.75,28.56
283.876,1.5,28.0,-0.75,28.56
285.993,1.5,28.0,-0.75,28.56
288.072,1.5,28.0,-0.75,28.56
290.143,1.5,27.94,-0.81,28.56
292.238,1.5,27.94,-0.75,28.56
294.313,1.5,27.94,-0.75,28.56
296.41,1.5,27.94,-0.81,28.56
298.521,1.5,28.0,-0.81,28.56
300.581,1.5,27.94,-0.81,28.56
302.653,1.5,28.0,-0.81,28.62
304.764,1.5,27.94,-0.81,28.62
306.836,1.5,28.0,-0.81,28.62
308.917,1.5,27.94,-0.81,28.62
311.023,1.5,28.0,-0.81,28.56
313.09,1.5,28.0,-0.81,28.56
315.223,1.5,28.0,-0.81,28.56
317.271,1.5,28.0,-0.81,28.56
319.388,1.5,28.0,-0.81,28.56
321.452,2.0,28.0,-0.81,28.56
323.555,2.0,28.0,-0.81,28.62
325.62,1.5,28.0,-0.81,28.56
327.729,2.0,28.0,-0.81,28.56
329.833,2.0,28.0,-0.81,28.56
331.899,2.0,28.0,-0.81,28.62
333.984,2.0,28.0,-0.81,28.56
336.066,2.0,28.0,-0.81,28.62
338.136,2.0,28.0,-0.81,28.62
340.246,2.0,28.0,-0.81,28.62
342.321,2.0,28.0,-0.81,28.62
344.402,2.0,28.0,-0.88,28.62
346.519,2.0,28.0,-0.81,28.62
348.584,2.0,28.0,-0.81,28.62
350.698,1.5,28.0,-0.81,28.62
352.786,1.5,28.0,-0.81,28.62
354.879,1.5,28.0,-0.81,28.62
356.944,1.5,28.0,-0.88,28.62
359.02,1.5,27.94,-0.81,28.62
361.129,1.5,28.0,-0.81,28.62
363.2,1.5,27.94,-0.81,28.62
365.281,1.5,28.0,-0.81,28.62
367.403,1.5,27.94,-0.81,28.62
369.483,1.5,28.0,-0.81,28.62
371.557,1.5,28.0,-0.75,28.62
373.621,2.0,28.0,-0.75,28.62
375.737,1.5,27.94,-0.75,28.62
377.817,1.5,28.0,-0.75,28.62
379.904,1.5,27.94,-0.75,28.62
382.008,1.5,28.0,-0.81,28.62
384.071,1.5,28.0,-0.75,28.62
386.188,1.5,27.94,-0.81,28.62
388.237,1.5,28.0,-0.81,28.62
390.325,1.5,28.0,-0.81,28.62
392.437,1.5,28.0,-0.81,28.62
394.523,1.5,27.94,-0.81,28.62
396.596,1.5,28.0,-0.81,28.62
398.713,1.5,28.0,-0.88,28.62
400.768,1.5,28.0,-0.88,28.69
402.888,1.5,28.0,-0.88,28.69
404.968,1.5,28.0,-0.88,28.62
407.04,1.5,28.0,-0.88,28.62
409.12,1.5,27.94,-0.88,28.62
411.212,1.5,28.0,-0.94,28.62
413.302,1.5,28.0,-0.94,28.62
415.39,1.5,27.94,-0.94,28.69
417.455,1.5,27.94,-0.94,28.62
419.575,1.5,27.94,-0.94,28.69
421.638,1.5,27.94,-0.94,28.69
423.756,1.5,27.94,-0.94,28.62
425.835,1.5,27.94,-0.94,28.62
427.937,1.5,27.94,-0.94,28.62
429.987,1.5,27.94,-1.0,28.69
432.1,1.5,27.94,-0.94,28.69
434.179,1.5,27.94,-0.94,28.62
436.249,1.5,27.94,-1.0,28.62
438.369,1.5,27.94,-1.0,28.62
440.431,1.5,27.94,-1.0,28.69
442.546,1.5,27.94,-1.0,28.62
444.625,1.5,27.94,-1.0,28.62
446.699,1.5,27.94,-1.06,28.62
448.779,1.5,27.87,-1.06,28.62
450.854,1.5,27.94,-1.06,28.62
452.965,1.5,27.94,-1.06,28.62
455.041,1.5,27.94,-1.06,28.62
457.154,1.5,27.87,-1.06,28.62
459.219,1.5,27.87,-1.06,28.62
461.331,1.5,27.87,-1.06,28.62
463.406,1.5,27.87,-1.0,28.62
465.471,1.5,27.87,-1.0,28.62
467.59,1.5,27.87,-1.0,28.62
469.653,1.5,27.87,-1.0,28.62
471.769,1.5,27.87,-1.0,28.62
473.849,1.5,27.87,-0.94,28.62
475.906,1.5,27.87,-0.94,28.62
478.017,1.5,27.87,-0.94,28.62
480.091,1.5,27.87,-0.94,28.62
482.169,1.5,27.87,-1.0,28.62
484.293,1.5,27.87,-0.94,28.62
486.357,1.5,27.87,-1.0,28.62
488.444,1.5,27.87,-1.0,28.62
490.556,1.5,27.87,-1.0,28.62
492.633,1.5,27.87,-1.0,28.62
494.706,1.5,27.87,-1.0,28.62
496.786,1.5,27.87,-1.06,28.62
498.905,1.5,27.87,-1.06,28.62
500.968,1.5,27.87,-1.06,28.62
503.042,1.5,27.87,-1.06,28.62
505.152,1.5,27.87,-1.06,28.62
507.219,1.5,27.87,-1.06,28.62
509.327,1.5,27.87,-1.06,28.62
511.406,1.5,27.87,-1.12,28.62
513.512,1.5,27.87,-1.12,28.62
515.582,1.5,27.87,-1.06,28.62
517.678,1.5,27.87,-1.12,28.62
519.749,1.5,27.87,-1.06,28.62
521.828,1.5,27.87,-1.12,28.62
523.949,1.5,27.87,-1.12,28.62
526.0,1.5,27.87,-1.12,28.62
528.117,1.5,27.87,-1.12,28.62
530.177,1.5,27.87,-1.12,28.62
532.295,1.5,27.87,-1.12,28.56
534.37,1.5,27.87,-1.06,28.62
536.472,1.5,27.87,-1.0,28.56
538.572,1.5,27.87,-1.0,28.56
540.631,1.5,27.87,-0.94,28.62
542.728,1.5,27.87,-0.94,28.56
544.808,1.5,27.87,-0.88,28.56
546.886,1.5,27.87,-0.88,28.56
548.996,1.5,27.87,-0.88,28.56
551.07,1.5,27.87,-0.88,28.56
553.148,1.5,27.87,-0.88,28.56
555.266,1.5,27.87,-0.81,28.56
557.313,1.5,27.87,-0.81,28.56
559.421,1.5,27.87,-0.81,28.56
561.486,1.5,27.87,-0.81,28.56
563.595,1.5,27.87,-0.88,28.56
565.707,1.5,27.87,-0.81,28.56
567.779,1.5,27.87,-0.81,28.56
569.859,1.5,27.87,-0.88,28.56
571.932,1.5,27.87,-0.88,28.56
574.029,1.5,27.87,-0.88,28.56
576.103,1.5,27.87,-0.88,28.56
578.216,1.5,27.87,-0.88,28.62
580.288,1.5,27.87,-0.88,28.56
582.383,1.5,27.87,-0.88,28.56
584.458,1.5,27.87,-0.88,28.56
586.538,1.5,27.87,-0.88,28.56
588.656,1.5,27.87,-0.88,28.56
590.72,1.5,27.87,-0.81,28.56
592.84,1.5,27.87,-0.81,28.56
594.907,1.5,27.87,-0.81,28.56
