Time_1HZ,RPS_Cold,RPS_Hot
2023-11-07 11:45:20,3,3
2023-11-07 11:45:21,4,3
2023-11-07 11:45:22,4,4
2023-11-07 11:45:23,4,3
2023-11-07 11:45:24,3,4
2023-11-07 11:45:25,4,3
2023-11-07 11:45:26,4,3
2023-11-07 11:45:27,4,4
2023-11-07 11:45:28,3,3
2023-11-07 11:45:29,4,4
2023-11-07 11:45:30,4,3
2023-11-07 11:45:31,4,3
2023-11-07 11:45:32,3,4
2023-11-07 11:45:33,4,3
2023-11-07 11:45:34,4,3
2023-11-07 11:45:35,3,4
2023-11-07 11:45:36,4,3
2023-11-07 11:45:37,4,4
2023-11-07 11:45:38,4,3
2023-11-07 11:45:39,3,3
2023-11-07 11:45:40,4,4
2023-11-07 11:45:41,4,3
2023-11-07 11:45:42,4,4
2023-11-07 11:45:43,3,3
2023-11-07 11:45:44,4,3
2023-11-07 11:45:45,4,4
2023-11-07 11:45:46,4,3
2023-11-07 11:45:47,3,3
2023-11-07 11:45:48,4,4
2023-11-07 11:45:49,4,3
2023-11-07 11:45:50,4,4
2023-11-07 11:45:51,3,3
2023-11-07 11:45:52,4,3
2023-11-07 11:45:53,4,4
2023-11-07 11:45:54,4,3
2023-11-07 11:45:55,3,3
2023-11-07 11:45:56,4,4
2023-11-07 11:45:57,4,3
2023-11-07 11:45:58,4,4
2023-11-07 11:45:59,3,3
2023-11-07 11:46:00,4,3
2023-11-07 11:46:01,4,4
2023-11-07 11:46:02,4,3
2023-11-07 11:46:03,3,3
2023-11-07 11:46:04,4,4
2023-11-07 11:46:05,4,3
2023-11-07 11:46:06,4,4
2023-11-07 11:46:07,3,3
2023-11-07 11:46:08,4,3
2023-11-07 11:46:09,4,4
2023-11-07 11:46:10,4,3
2023-11-07 11:46:11,3,3
2023-11-07 11:46:12,4,4
2023-11-07 11:46:13,4,3
2023-11-07 11:46:14,4,4
2023-11-07 11:46:15,3,3
2023-11-07 11:46:16,4,3
2023-11-07 11:46:17,4,4
2023-11-07 11:46:18,4,3
2023-11-07 11:46:19,3,3
2023-11-07 11:46:20,4,4
2023-11-07 11:46:21,4,3
2023-11-07 11:46:22,3,4
2023-11-07 11:46:23,4,3
2023-11-07 11:46:24,4,3
2023-11-07 11:46:25,4,4
2023-11-07 11:46:26,3,3
2023-11-07 11:46:27,4,3
2023-11-07 11:46:28,4,4
2023-11-07 11:46:29,4,3
2023-11-07 11:46:30,3,4
2023-11-07 11:46:31,4,3
2023-11-07 11:46:32,4,3
2023-11-07 11:46:33,4,4
2023-11-07 11:46:34,3,3
2023-11-07 11:46:35,4,4
2023-11-07 11:46:36,4,3
2023-11-07 11:46:37,4,3
2023-11-07 11:46:38,3,4
2023-11-07 11:46:39,4,3
2023-11-07 11:46:40,4,3
2023-11-07 11:46:41,4,4
2023-11-07 11:46:42,3,3
2023-11-07 11:46:43,4,4
2023-11-07 11:46:44,4,3
2023-11-07 11:46:45,4,3
2023-11-07 11:46:46,3,4
2023-11-07 11:46:47,4,3
2023-11-07 11:46:48,4,4
2023-11-07 11:46:49,4,3
2023-11-07 11:46:50,3,3
2023-11-07 11:46:51,4,4
2023-11-07 11:46:52,4,3
2023-11-07 11:46:53,4,4
2023-11-07 11:46:54,3,3
2023-11-07 11:46:55,4,3
2023-11-07 11:46:56,4,4
2023-11-07 11:46:57,4,3
2023-11-07 11:46:58,3,4
2023-11-07 11:46:59,4,3
2023-11-07 11:47:00,4,3
2023-11-07 11:47:01,4,4
2023-11-07 11:47:02,3,3
2023-11-07 11:47:03,4,4
2023-11-07 11:47:04,4,3
2023-11-07 11:47:05,3,3
2023-11-07 11:47:06,4,4
2023-11-07 11:47:07,4,3
2023-11-07 11:47:08,4,4
2023-11-07 11:47:09,3,3
2023-11-07 11:47:10,4,3
2023-11-07 11:47:11,4,4
2023-11-07 11:47:12,4,3
2023-11-07 11:47:13,3,4
2023-11-07 11:47:14,4,3
2023-11-07 11:47:15,4,3
2023-11-07 11:47:16,3,4
2023-11-07 11:47:17,4,3
2023-11-07 11:47:18,4,4
2023-11-07 11:47:19,4,3
2023-11-07 11:47:20,3,3
2023-11-07 11:47:21,4,4
2023-11-07 11:47:22,4,3
2023-11-07 11:47:23,3,4
2023-11-07 11:47:24,4,3
2023-11-07 11:47:25,4,3
2023-11-07 11:47:26,4,4
2023-11-07 11:47:27,3,3
2023-11-07 11:47:28,4,4
2023-11-07 11:47:29,4,3
2023-11-07 11:47:30,3,4
2023-11-07 11:47:31,4,3
2023-11-07 11:47:32,4,3
2023-11-07 11:47:33,4,4
2023-11-07 11:47:34,3,3
2023-11-07 11:47:35,4,4
2023-11-07 11:47:36,4,3
2023-11-07 11:47:37,3,3
2023-11-07 11:47:38,4,4
2023-11-07 11:47:39,4,3
2023-11-07 11:47:40,4,4
2023-11-07 11:47:41,3,3
2023-11-07 11:47:42,4,3
2023-11-07 11:47:43,4,4
2023-11-07 11:47:44,3,3
2023-11-07 11:47:45,4,4
2023-11-07 11:47:46,4,3
2023-11-07 11:47:47,4,3
2023-11-07 11:47:48,3,4
2023-11-07 11:47:49,4,3
2023-11-07 11:47:50,4,4
2023-11-07 11:47:51,3,3
2023-11-07 11:47:52,4,3
2023-11-07 11:47:53,4,4
2023-11-07 11:47:54,4,3
2023-11-07 11:47:55,3,4
2023-11-07 11:47:56,4,3
2023-11-07 11:47:57,4,3
2023-11-07 11:47:58,3,4
2023-11-07 11:47:59,4,3
2023-11-07 11:48:00,4,4
2023-11-07 11:48:01,3,3
2023-11-07 11:48:02,4,3
2023-11-07 11:48:03,4,4
2023-11-07 11:48:04,4,3
2023-11-07 11:48:05,3,3
2023-11-07 11:48:06,4,4
2023-11-07 11:48:07,4,3
2023-11-07 11:48:08,3,4
