Time_1HZ,Voltage_10_A_[V],Shunt_10_A_[V],Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E_[V],Voltage_VarR_[V],Shunt_VarR_[V],Time2_[s],T5_cold_surf_B_[degC],T8_cold_surf_C_[degC],T2_hot_surf_C_[degC],T4_hot_surf_A_[degC],T3_hot_in_TEGs_[degC],T6_hot_surf_B_[degC],T7_cold_surf_A_[degC],T1_cold_in_TEGs_[degC],Current_A_[A],Power_A_[W],Current_B_[A],Power_B_[W],Current_C_[],Power_C_[],Current_D_[],Power_D_[],Current_E_[],Power_E_[],Current_VarR_[],Power_VarR_[],DT_surf_A_K],DT_surf_B_[],DT_surf_C_[]
2023-11-07 11:45:20,3.35e-05,0.000185,-0.000298,-0.000246,-0.00038500000000000003,-0.00030099999999999994,-0.000722,0.00021700000000000002,-0.000738,0.000505,1.9119999999999997,-0.2872,0.45,2.7403000000000004,1.6164,26.049,26.52,29.1,26.6,1.7047,-1.6598,0.000185,6.293e-09,0.000246,7.312e-08,0.00030099999999999994,1.1530000000000001e-07,0.00021700000000000002,1.576e-07,0.000505,3.735e-07,0.2872,0.54903,24.811,23.860999999999997,24.429
2023-11-07 11:45:21,5.9800000000000003e-05,0.00020400000000000003,-0.000295,-0.00024199999999999997,-0.000398,-0.000307,-0.0007250000000000001,0.00022200000000000003,-0.000732,0.000504,1.9119999999999997,-0.2872,1.45,2.734,1.6038000000000001,26.04,26.52,29.1,26.605,1.6997,-1.6591999999999998,0.00020400000000000003,1.213e-08,0.00024199999999999997,7.092e-08,0.000307,1.215e-07,0.00022200000000000003,1.6020000000000002e-07,0.000504,3.688e-07,0.2872,0.5491,24.82,23.87,24.438
2023-11-07 11:45:22,4.98e-05,0.00019500000000000002,-0.000294,-0.00025299999999999997,-0.00039,-0.00030599999999999996,-0.000724,0.000226,-0.0007250000000000001,0.000513,1.9119999999999997,-0.28724,2.45,2.728,1.5923,26.04,26.52,29.103,26.610000000000003,1.6962,-1.659,0.00019500000000000002,9.715000000000001e-09,0.00025299999999999997,7.379e-08,0.00030599999999999996,1.197e-07,0.000226,1.634e-07,0.000513,3.7239999999999997e-07,0.28724,0.54916,24.82,23.878999999999998,24.449
2023-11-07 11:45:23,1.5765000000000002e-05,0.000194,-0.000294,-0.000268,-0.000389,-0.000324,-0.000736,0.00023500000000000002,-0.0007379999999999999,0.000519,1.9119999999999997,-0.28729,3.45,2.7206,1.5813000000000001,26.04,26.52,29.106,26.610000000000003,1.6919,-1.6578,0.000194,3.1100000000000002e-09,0.000268,7.798e-08,0.000324,1.266e-07,0.00023500000000000002,1.74e-07,0.000519,3.8260000000000005e-07,0.28729,0.54923,24.825,23.889000000000003,24.457
2023-11-07 11:45:24,2.8800000000000002e-05,0.00017800000000000002,-0.000289,-0.000254,-0.00039699999999999995,-0.00032500000000000004,-0.000741,0.00022,-0.000698,0.000522,1.9119999999999997,-0.2873,4.45,2.711,1.5709,26.032,26.52,29.108999999999998,26.610000000000003,1.6887,-1.6573999999999998,0.00017800000000000002,5.129e-09,0.000254,7.298e-08,0.00032500000000000004,1.288e-07,0.00022,1.6300000000000002e-07,0.000522,3.635e-07,0.2873,0.54932,24.83,23.901,24.46
2023-11-07 11:45:25,2.49e-05,0.000176,-0.000283,-0.000261,-0.000393,-0.000316,-0.0007440000000000001,0.000218,-0.0007180000000000001,0.000532,1.9119999999999997,-0.28727,5.45,2.7011,1.5621,26.03,26.52,29.110000000000003,26.610000000000003,1.6844000000000001,-1.6568999999999998,0.000176,4.3859999999999995e-09,0.000261,7.298e-08,0.000316,1.251e-07,0.000218,1.6190000000000001e-07,0.000532,3.8260000000000005e-07,0.28727,0.54932,24.83,23.913,24.469
2023-11-07 11:45:26,1.1292e-05,0.00017800000000000002,-0.000287,-0.000265,-0.00039700000000000005,-0.000317,-0.000759,0.00023500000000000002,-0.0007180000000000001,0.000528,1.9119999999999997,-0.2872,6.45,2.6909,1.5544,26.024,26.512,29.110000000000003,26.615,1.6796,-1.656,0.00017800000000000002,2.4711000000000003e-09,0.000265,7.549e-08,0.000317,1.254e-07,0.00023500000000000002,1.788e-07,0.000528,3.793e-07,0.2872,0.54924,24.836,23.924,24.47
2023-11-07 11:45:27,3.017e-06,0.00017800000000000002,-0.000276,-0.000266,-0.000376,-0.000316,-0.0007570000000000001,0.000231,-0.0007210000000000001,0.00052,1.9119999999999997,-0.2872,7.45,2.6797,1.5474,26.02,26.51,29.110000000000003,26.619999999999997,1.6748999999999998,-1.6542999999999999,0.00017800000000000002,8.043e-10,0.000266,7.253e-08,0.000316,1.1930000000000002e-07,0.000231,1.747e-07,0.00052,3.7579999999999996e-07,0.2872,0.5492600000000001,24.84,23.935,24.47
2023-11-07 11:45:28,1.2330000000000002e-05,0.000193,-0.00025,-0.000269,-0.000384,-0.000315,-0.000741,0.000219,-0.0007340000000000001,0.000506,1.9119999999999997,-0.28722000000000003,8.45,2.6692,1.541,26.014999999999997,26.51,29.110000000000003,26.619999999999997,1.6707,-1.6535,0.000193,2.35e-09,0.000269,6.729e-08,0.000315,1.216e-07,0.000219,1.626e-07,0.000506,3.711e-07,0.28722000000000003,0.5492900000000001,24.84,23.948,24.472
2023-11-07 11:45:29,8.052e-06,0.000219,-0.00027,-0.00021700000000000002,-0.000403,-0.000324,-0.000734,0.000219,-0.0007250000000000001,0.0005120000000000001,1.9119999999999997,-0.28723,9.45,2.6585,1.5365,26.01,26.51,29.107,26.619999999999997,1.6663000000000001,-1.6514,0.000219,1.8647e-09,0.00021700000000000002,5.833e-08,0.000324,1.3e-07,0.000219,1.613e-07,0.0005120000000000001,3.716e-07,0.28723,0.54928,24.849,23.959,24.470999999999997
2023-11-07 11:45:30,1.5765000000000002e-05,0.00021099999999999998,-0.000281,-0.00022500000000000002,-0.0004,-0.000326,-0.0007289999999999999,0.00022500000000000002,-0.000727,0.000516,1.9119999999999997,-0.2872,10.45,2.6483,1.5328,26.006,26.51,29.1,26.619999999999997,1.6620000000000001,-1.6502,0.00021099999999999998,3.342e-09,0.00022500000000000002,6.320000000000001e-08,0.000326,1.307e-07,0.00022500000000000002,1.641e-07,0.000516,3.753e-07,0.2872,0.54918,24.85,23.969,24.47
2023-11-07 11:45:31,1.6641e-05,0.000219,-0.000279,-0.00025,-0.00038700000000000003,-0.00031099999999999997,-0.000743,0.000227,-0.000736,0.000515,1.9119999999999997,-0.2872,11.45,2.6386,1.5284,26.0,26.51,29.1,26.619999999999997,1.6588,-1.6492999999999998,0.000219,3.727e-09,0.00025,6.974e-08,0.00031099999999999997,1.206e-07,0.000227,1.688e-07,0.000515,3.806e-07,0.2872,0.54912,24.85,23.981,24.47
2023-11-07 11:45:32,2.2499999999999998e-05,0.000198,-0.000284,-0.000263,-0.00037400000000000004,-0.00031,-0.000735,0.00022200000000000003,-0.000724,0.000503,1.9119999999999997,-0.2872,12.45,2.6298000000000004,1.5231999999999999,26.0,26.51,29.1,26.619999999999997,1.6561999999999997,-1.6466,0.000198,4.441999999999999e-09,0.000263,7.442e-08,0.00031,1.1579999999999999e-07,0.00022200000000000003,1.6399999999999999e-07,0.000503,3.636e-07,0.2872,0.5491,24.851000000000003,23.991,24.47
2023-11-07 11:45:33,1.4173000000000001e-05,0.00018700000000000002,-0.000295,-0.000254,-0.000402,-0.000319,-0.000731,0.000216,-0.000731,0.000519,1.9119999999999997,-0.2872,13.45,2.6218,1.5164,25.990999999999996,26.51,29.094,26.619999999999997,1.654,-1.6448,0.00018700000000000002,2.6751e-09,0.000254,7.445000000000001e-08,0.000319,1.277e-07,0.000216,1.587e-07,0.000519,3.805e-07,0.2872,0.54908,24.853,24.0,24.478
2023-11-07 11:45:34,3.14e-05,0.000181,-0.00030000000000000003,-0.000256,-0.000392,-0.00031,-0.000726,0.000216,-0.000742,0.000506,1.9119999999999997,-0.2872,14.45,2.6161000000000003,1.5084,25.99,26.51,29.089999999999996,26.619999999999997,1.6515999999999997,-1.6428999999999998,0.000181,5.712e-09,0.000256,7.67e-08,0.00031,1.214e-07,0.000216,1.579e-07,0.000506,3.748e-07,0.2872,0.5490700000000001,24.857999999999997,24.005000000000003,24.48
2023-11-07 11:45:35,3.05e-05,0.00018600000000000002,-0.00030000000000000003,-0.00026,-0.000402,-0.000315,-0.000741,0.00022,-0.0007610000000000001,0.000497,1.9119999999999997,-0.2872,15.45,2.6134,1.5018,25.99,26.51,29.089999999999996,26.619999999999997,1.6498000000000002,-1.6407,0.00018600000000000002,5.6860000000000004e-09,0.00026,7.752e-08,0.000315,1.262e-07,0.00022,1.643e-07,0.000497,3.78e-07,0.2872,0.5491,24.86,24.01,24.485999999999997
2023-11-07 11:45:36,2.9099999999999996e-05,0.000176,-0.00029,-0.000261,-0.000398,-0.000317,-0.000749,0.00021700000000000002,-0.000751,0.0005009999999999999,1.9119999999999997,-0.28721,16.45,2.6115000000000004,1.4956,25.987000000000002,26.508000000000003,29.089999999999996,26.619999999999997,1.6483,-1.6382999999999999,0.000176,5.043e-09,0.000261,7.558e-08,0.000317,1.266e-07,0.00021700000000000002,1.633e-07,0.0005009999999999999,3.7569999999999996e-07,0.28721,0.54908,24.86,24.01,24.49
