Time,Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E[V],Voltage_VarR[V],Shunt_VarR[V],Current_B[A],Power_B[W],Current_C[],Power_C[],Current_D[],Power_D_[],Current_E[],Power_E[],Current_VarR[],Power_VarR[],Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_9,Sensor_10
0.0,0.0013688,-0.0004774999999999,-0.002204,-0.00010484,-0.0145018,-0.0025586,0.0069063,0.0019383999999999,0.0059276999999999,-0.0014261,0.0004774999999999,6.5295e-07,0.00010484,2.3134e-07,0.0025586,3.7e-05,0.0019383999999999,1.3e-05,0.0014261,8.4453e-06,27.918349458,27.914345742,25.732323647,26.037882614,26.565985677,26.413921168
1.0,0.0013517,-0.0004703,-0.0021962,-0.00010346,-0.0144814,-0.002555,0.0068848999999999,0.0019413,0.0059218,-0.001424,0.0004703,6.3645e-07,0.00010346,2.2761e-07,0.002555,3.7e-05,0.0019413,1.304e-05,0.001424,8.428e-06,27.91843033,27.91686678,25.7299113275,26.037882805,26.5635628675,26.41325331
2.0,0.0013415,-0.0004673,-0.0021977,-0.00011253,-0.0144701999999999,-0.0025488,0.0068925,0.0019456,0.0059171,-0.001426,0.0004673,6.2666e-07,0.00011253,2.4601e-07,0.0025488,3.692e-05,0.0019456,1.335e-05,0.001426,8.4367e-06,27.918511202,27.919387818,25.727499008,26.037882996,26.561140058,26.412585452
3.0,0.0013468,-0.0004638,-0.0022085,-0.0001100399999999,-0.0144605999999999,-0.0025554,0.0068461999999999,0.0019266,0.0059092,-0.0014229,0.0004638,6.2525e-07,0.0001100399999999,2.419e-07,0.0025554,3.698e-05,0.0019266,1.301e-05,0.0014229,8.4062e-06,27.918592074,27.921908856,25.7250866885,26.037883187,26.5587172485,26.411917594
4.0,0.0013301,-0.000473,-0.002205,-0.00011888,-0.0144515,-0.0025621,0.0068320999999999,0.0019210999999999,0.0058913,-0.0014327,0.000473,6.2833e-07,0.00011888,2.5974e-07,0.0025621,3.7e-05,0.0019210999999999,1.3e-05,0.0014327,8.4385e-06,27.918672946,27.924429894000003,25.722674369,26.037883378,26.556294439,26.411249736
5.0,0.00133,-0.0004724,-0.0021973,-0.0001159,-0.0144262,-0.0025636,0.0068226,0.0019136,0.0058811,-0.0014282,0.0004724,6.2842e-07,0.0001159,2.5585e-07,0.0025636,3.7e-05,0.0019136,1.3e-05,0.0014282,8.3998e-06,27.918753818,27.926950932,25.7202620495,26.037883569,26.5538716295,26.410581878
6.0,0.0013449,-0.0004833,-0.0022002,-0.0001131,-0.0143965,-0.0025561,0.0068003,0.0019053,0.0058742,-0.0014242,0.0004833,6.502200000000001e-07,0.0001131,2.476e-07,0.0025561,3.7e-05,0.0019053,1.3e-05,0.0014242,8.3564e-06,27.91883469,27.92947197,25.71784973,26.03788376,26.55144882,26.40991402
7.0,0.001361,-0.0004869,-0.0022079,-0.00010759,-0.0143799,-0.0025675,0.0067791999999999,0.0019047,0.0058695,-0.0014098,0.0004869,6.6269e-07,0.00010759,2.3547000000000003e-07,0.0025675,3.7e-05,0.0019047,1.3e-05,0.0014098,8.268700000000001e-06,27.9165648495,27.9290791515,25.7153877245,26.037980558,26.551362131,26.4076080355
8.0,0.0013717999999999,-0.0004808,-0.0022217,-0.00010332,-0.014379,-0.0025667,0.0067637,0.0019004,0.0058658999999999,-0.0014066,0.0004808,6.608300000000001e-07,0.00010332,2.2815000000000001e-07,0.0025667,3.7e-05,0.0019004,1.3e-05,0.0014066,8.254000000000001e-06,27.914295009,27.928686333,25.712925719,26.038077356,26.551275442,26.405302051
9.0,0.0013659,-0.0004823,-0.0022206,-9.501e-05,-0.0143961,-0.002562,0.0067467,0.0019042,0.0058683,-0.001362,0.0004823,6.5858e-07,9.501e-05,2.1082e-07,0.002562,3.7e-05,0.0019042,1.3e-05,0.001362,7.9951e-06,27.9120251685,27.9282935145,25.7104637135,26.038174154,26.551188753,26.4029960665
10.0,0.0013676,-0.000489,-0.0022281,-9.736e-05,-0.0143924999999999,-0.0025551,0.0067312,0.0019042,0.005854,-0.0013466,0.000489,6.6849e-07,9.736e-05,2.1762e-07,0.0025551,3.7e-05,0.0019042,1.3e-05,0.0013466,7.88e-06,27.909755328,27.927900696,25.708001708,26.038270952,26.551102064,26.400690082
11.0,0.0013831,-0.0004917999999999,-0.0022542,-9.541e-05,-0.0143827,-0.0025529,0.0067112,0.0018950999999999,0.0058391,-0.0013429,0.0004917999999999,6.7991e-07,9.541e-05,2.1507e-07,0.0025529,3.691e-05,0.0018950999999999,1.3e-05,0.0013429,7.8448e-06,27.9074854875,27.9275078775,25.7055397025,26.03836775,26.551015375,26.3983840975
12.0,0.0013936999999999,-0.0004927,-0.0022494999999999,-9.841e-05,-0.0143805999999999,-0.0025362,0.0066864,0.00189,0.0058302,-0.0013443,0.0004927,6.8749e-07,9.841e-05,2.2043000000000002e-07,0.0025362,3.66e-05,0.00189,1.3e-05,0.0013443,7.8328e-06,27.905215647,27.927115059,25.703077697,26.038464548,26.550928686,26.396078113
13.0,0.0014383,-0.0004939,-0.0022567999999999,-9.418e-05,-0.0143753,-0.0025436,0.0066685999999999,0.0018817,0.0058055,-0.0013493,0.0004939,7.110700000000001e-07,9.418e-05,2.1292000000000003e-07,0.0025436,3.679e-05,0.0018817,1.287e-05,0.0013493,7.828999999999999e-06,27.9029458065,27.9267222405,25.7006156915,26.038561346,26.550841997,26.3937721285
14.0,0.0014227999999999,-0.0005005,-0.0022517999999999,-8.446e-05,-0.0143751,-0.0025526,0.0066586,0.0018869,0.0057971,-0.001335,0.0005005,7.114e-07,8.446e-05,1.8988e-07,0.0025526,3.693e-05,0.0018869,1.283e-05,0.001335,7.743400000000001e-06,27.900675966,27.926329422,25.698153686,26.038658144,26.550755308,26.391466144
15.0,0.0014134,-0.0005008,-0.0022324,-9.145e-05,-0.0143777,-0.0025548,0.0066451999999999,0.0018969,0.005772,-0.0013424,0.0005008,7.068e-07,9.145e-05,2.0287000000000002e-07,0.0025548,3.687e-05,0.0018969,1.3e-05,0.0013424,7.7532e-06,27.8984061255,27.9259366035,25.6956916805,26.038754942,26.550668619,26.3891601595
16.0,0.0014553,-0.0005031,-0.0022231,-0.0001006799999999,-0.0143868,-0.0025549,0.0066276,0.0018932,0.0057693,-0.0013278,0.0005031,7.3e-07,0.0001006799999999,2.2204e-07,0.0025549,3.7e-05,0.0018932,1.288e-05,0.0013278,7.6615e-06,27.896136285,27.925543785,25.693229675,26.03885174,26.55058193,26.386854175
17.0,0.0014386,-0.0005092,-0.0022301,-0.00010763,-0.0143907,-0.0025537,0.006601,0.0018858,0.0057586,-0.0013287,0.0005092,7.3122e-07,0.00010763,2.3719000000000002e-07,0.0025537,3.691e-05,0.0018858,1.227e-05,0.0013287,7.653900000000001e-06,27.8938664445,27.9251509665,25.6907676695,26.038948538,26.550495241,26.3845481905
18.0,0.001423,-0.000504,-0.002213,-0.00010167,-0.0144030999999999,-0.0025675,0.0065891,0.0018781,0.0057512,-0.0013195,0.000504,7.1623e-07,0.00010167,2.2557000000000005e-07,0.0025675,3.699e-05,0.0018781,1.2e-05,0.0013195,7.595700000000001e-06,27.891596604,27.924758148,25.688305664,26.039045336,26.550408552,26.382242206
19.0,0.0014222,-0.0004992,-0.0021995,-9.293e-05,-0.0144184,-0.0025585,0.0065858,0.0018709999999999,0.0057484,-0.0013257999999999,0.0004992,7.103e-07,9.293e-05,2.0473e-07,0.0025585,3.7e-05,0.0018709999999999,1.2e-05,0.0013257999999999,7.62e-06,27.8893267635,27.9243653295,25.6858436585,26.039142134,26.550321863,26.3799362215
20.0,0.0014261,-0.0005045,-0.0021956,-9.309e-05,-0.0144418,-0.0025602,0.0065722,0.0018836999999999,0.0057549,-0.001327,0.0005045,7.1977e-07,9.309e-05,2.0343000000000002e-07,0.0025602,3.7e-05,0.0018836999999999,1.209e-05,0.001327,7.637099999999998e-06,27.887056923,27.923972511,25.683381653,26.039238932,26.550235174,26.377630237
21.0,0.0014326999999999,-0.0005062,-0.0022064,-8.681e-05,-0.0144580999999999,-0.0025614,0.0065734,0.0018941,0.0057498,-0.0013736999999999,0.0005062,7.228e-07,8.681e-05,1.918e-07,0.0025614,3.7e-05,0.0018941,1.223e-05,0.0013736999999999,7.9068e-06,27.8847870825,27.9235796925,25.6809196475,26.03933573,26.550148485,26.3753242525
22.0,0.0014421,-0.0005028999999999,-0.0022165,-8.797e-05,-0.0144753,-0.0025618,0.0065764,0.0018889,0.00574,-0.0013901,0.0005028999999999,7.2515e-07,8.797e-05,1.9526000000000002e-07,0.0025618,3.7e-05,0.0018889,1.216e-05,0.0013901,7.9821e-06,27.882517242,27.923186874,25.678457642,26.039432528,26.550061796,26.373018268
23.0,0.0014475999999999,-0.0004949,-0.0022057,-8.839e-05,-0.0144894,-0.0025718,0.0065805,0.0018823,0.0057341,-0.0013890999999999,0.0004949,7.1769e-07,8.839e-05,1.9495e-07,0.0025718,3.7e-05,0.0018823,1.202e-05,0.0013890999999999,7.9749e-06,27.8802474015,27.9227940555,25.6759956365,26.039529326,26.549975107,26.3707122835
24.0,0.0014667999999999,-0.000503,-0.0021951,-7.753e-05,-0.0144935,-0.0025691,0.0065828,0.001892,0.0057387,-0.0013857,0.000503,7.395800000000001e-07,7.753e-05,1.7036999999999998e-07,0.0025691,3.7e-05,0.001892,1.224e-05,0.0013857,7.9577e-06,27.877977561,27.922401237,25.673533631,26.039626124,26.549888418,26.368406299
25.0,0.0014756,-0.0004971999999999,-0.0021913,-8.942000000000001e-05,-0.0144927,-0.0025647,0.0065968,0.0018939999999999,0.0057439,-0.0013935,0.0004971999999999,7.3685e-07,8.942000000000001e-05,1.9540000000000002e-07,0.0025647,3.7e-05,0.0018939999999999,1.237e-05,0.0013935,8.0087e-06,27.8757077205,27.9220084185,25.6710716255,26.039722922,26.549801729,26.3661003145
26.0,0.0014693,-0.0004944999999999,-0.0021968,-9.782e-05,-0.0144973,-0.0025661,0.0066117,0.0019064,0.0057374,-0.001397,0.0004944999999999,7.283099999999999e-07,9.782e-05,2.1497e-07,0.0025661,3.7e-05,0.0019064,1.293e-05,0.001397,8.014e-06,27.87343788,27.9216156,25.66860962,26.03981972,26.54971504,26.36379433
27.0,0.0014721,-0.0005021,-0.0021935,-0.00010229,-0.014511,-0.0025706,0.0066161,0.0018912,0.0057427,-0.0013885999999999,0.0005021,7.4034e-07,0.00010229,2.2467e-07,0.0025706,3.7e-05,0.0018912,1.236e-05,0.0013885999999999,7.9676e-06,27.8728941905,27.919069099,25.6658372885,26.0357319855,26.54451618,26.3620960265
28.0,0.0014681,-0.0005093999999999,-0.0022048,-9.286e-05,-0.0145314,-0.0025729999999999,0.0066076,0.0018821999999999,0.0057395,-0.0013881999999999,0.0005093999999999,7.4654e-07,9.286e-05,2.0493e-07,0.0025729999999999,3.721e-05,0.0018821999999999,1.201e-05,0.0013881999999999,7.9699e-06,27.872350501,27.916522598,25.663064957000003,26.031644251,26.53931732,26.360397723
29.0,0.0014789,-0.0005223999999999,-0.0022172,-9.382e-05,-0.0145417999999999,-0.0025729,0.0066142,0.0018882,0.0057391,-0.0013837,0.0005223999999999,7.725699999999999e-07,9.382e-05,2.0779e-07,0.0025729,3.736e-05,0.0018882,1.247e-05,0.0013837,7.942000000000001e-06,27.8718068115,27.913976097,25.6602926255,26.0275565165,26.53411846,26.3586994195
30.0,0.0014807,-0.0005181,-0.0022118,-8.789e-05,-0.0145508,-0.002583,0.0066168,0.0018965,0.0057383999999999,-0.001371,0.0005181,7.6588e-07,8.789e-05,1.9391000000000002e-07,0.002583,3.770000000000001e-05,0.0018965,1.2969999999999998e-05,0.001371,7.8746e-06,27.871263122,27.911429596,25.657520294,26.023468782,26.5289196,26.357001116
31.0,0.0014968,-0.0005155,-0.0022031,-8.264000000000001e-05,-0.0145637999999999,-0.0025785,0.0066277,0.0018918999999999,0.0057451,-0.0013725,0.0005155,7.695100000000001e-07,8.264000000000001e-05,1.819e-07,0.0025785,3.753e-05,0.0018918999999999,1.283e-05,0.0013725,7.893899999999999e-06,27.8707194325,27.908883095,25.6547479625,26.0193810475,26.52372074,26.3553028125
