07:22:54.298 -> Time[s],T_wall[degC], RH_wall[%], T_A[degC], T_B[degC], T_C[degC], T_D[degC] 
07:22:57.239 -> 67.52, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:23:00.111 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:23:02.965 -> 67.54, 25.03, 25.00, 24.81, 25.12, 25.00, 
07:23:05.780 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:23:08.655 -> 67.56, 25.04, 25.00, 24.81, 25.12, 25.00, 
07:23:11.492 -> 67.54, 25.00, 25.00, 24.81, 25.12, 25.00, 
07:23:14.358 -> 67.52, 25.03, 25.00, 24.81, 25.12, 25.00, 
07:23:17.197 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:23:20.061 -> 67.56, 25.04, 25.00, 24.81, 25.19, 25.00, 
07:23:22.883 -> 67.52, 25.00, 25.00, 24.81, 25.12, 25.00, 
07:23:25.764 -> 67.54, 25.01, 25.00, 24.75, 25.19, 25.00, 
07:23:28.578 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:23:31.441 -> 67.52, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:23:34.307 -> 67.54, 25.01, 25.00, 24.75, 25.12, 25.00, 
07:23:37.120 -> 67.54, 25.03, 25.00, 24.81, 25.12, 25.00, 
07:23:40.002 -> 67.52, 25.01, 25.00, 24.81, 25.19, 25.00, 
07:23:42.834 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:23:45.695 -> 67.54, 25.01, 25.00, 24.81, 25.19, 25.00, 
07:23:48.565 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:23:51.372 -> 67.54, 25.01, 25.00, 24.75, 25.19, 25.00, 
07:23:54.234 -> 67.54, 25.01, 25.00, 24.75, 25.12, 25.00, 
07:23:57.098 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:23:59.942 -> 67.54, 25.03, 25.00, 24.81, 25.12, 25.00, 
07:24:02.810 -> 67.54, 25.01, 25.00, 24.75, 25.12, 25.00, 
07:24:05.632 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:08.481 -> 67.54, 25.01, 25.00, 24.81, 25.19, 25.00, 
07:24:11.350 -> 67.54, 25.03, 25.00, 24.81, 25.19, 25.00, 
07:24:14.206 -> 67.54, 25.03, 25.00, 24.81, 25.12, 25.00, 
07:24:17.023 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:19.884 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:22.750 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:25.566 -> 67.54, 25.03, 25.00, 24.75, 25.19, 25.00, 
07:24:28.425 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:31.279 -> 67.54, 25.01, 25.00, 24.75, 25.19, 25.00, 
07:24:34.141 -> 67.53, 25.04, 25.00, 24.75, 25.19, 25.00, 
07:24:36.963 -> 67.52, 25.00, 25.00, 24.81, 25.12, 25.00, 
07:24:39.858 -> 67.54, 25.01, 25.00, 24.75, 25.19, 25.00, 
07:24:42.675 -> 67.54, 25.01, 25.00, 24.81, 25.12, 25.00, 
07:24:45.551 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:48.384 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
07:24:51.213 -> 67.54, 25.03, 25.00, 24.75, 25.12, 25.00, 
