08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
08:53:35.849 -> 7.50, 32.00, 6.50, 32.63, 
08:53:37.920 -> 7.50, 32.00, 6.44, 32.63, 
08:53:40.019 -> 7.50, 32.00, 6.44, 32.63, 
08:53:42.091 -> 7.50, 32.00, 6.44, 32.63, 
08:53:44.157 -> 7.50, 32.00, 6.44, 32.63, 
08:53:46.264 -> 7.50, 32.00, 6.44, 32.63, 
08:53:48.367 -> 7.50, 31.94, 6.50, 32.63, 
08:53:50.424 -> 7.50, 31.94, 6.50, 32.63, 
08:53:52.524 -> 7.50, 31.94, 6.50, 32.56, 
08:53:54.590 -> 7.50, 31.94, 6.50, 32.56, 
08:53:56.690 -> 7.50, 31.94, 6.50, 32.50, 
08:53:58.775 -> 7.50, 31.94, 6.50, 32.50, 
08:54:00.875 -> 7.50, 31.94, 6.50, 32.44, 
08:54:02.925 -> 7.50, 31.94, 6.50, 32.38, 
08:54:05.052 -> 7.50, 31.94, 6.50, 32.38, 
08:54:07.118 -> 7.50, 31.94, 6.50, 32.38, 
08:54:09.191 -> 7.50, 31.94, 6.50, 32.38, 
08:54:11.277 -> 7.50, 31.94, 6.50, 32.38, 
08:54:13.373 -> 7.50, 31.94, 6.56, 32.31, 
08:54:15.476 -> 7.50, 31.94, 6.56, 32.31, 
08:54:17.557 -> 7.50, 31.87, 6.56, 32.31, 
08:54:19.622 -> 7.50, 31.87, 6.56, 32.31, 
08:54:21.710 -> 7.50, 31.87, 6.56, 32.38, 
08:54:23.812 -> 7.50, 31.87, 6.50, 32.38, 
08:54:25.911 -> 7.50, 31.87, 6.50, 32.38, 
08:54:27.985 -> 7.50, 31.87, 6.44, 32.38, 
08:54:30.080 -> 7.50, 31.87, 6.44, 32.38, 
08:54:32.162 -> 7.50, 31.87, 6.44, 32.38, 
08:54:34.222 -> 7.50, 31.87, 6.44, 32.38, 
08:54:36.295 -> 7.50, 31.87, 6.44, 32.38, 
08:54:38.400 -> 7.00, 31.81, 6.44, 32.31, 
08:54:40.494 -> 7.50, 31.87, 6.44, 32.31, 
08:54:42.580 -> 7.00, 31.87, 6.44, 32.38, 
08:54:44.636 -> 7.00, 31.81, 6.44, 32.38, 
08:54:46.740 -> 7.00, 31.81, 6.44, 32.38, 
08:54:48.825 -> 7.00, 31.81, 6.38, 32.38, 
08:54:50.932 -> 7.00, 31.81, 6.38, 32.44, 
08:54:53.018 -> 7.00, 31.81, 6.31, 32.44, 
08:54:55.094 -> 7.00, 31.87, 6.31, 32.38, 
08:54:57.149 -> 7.00, 31.81, 6.31, 32.38, 
08:54:59.263 -> 7.00, 31.81, 6.31, 32.38, 
08:55:01.349 -> 7.00, 31.87, 6.31, 32.38, 
08:55:03.418 -> 7.00, 31.81, 6.31, 32.31, 
08:55:05.531 -> 7.00, 31.81, 6.31, 32.38, 
08:55:07.589 -> 7.00, 31.81, 6.25, 32.38, 
08:55:09.707 -> 7.00, 31.81, 6.25, 32.38, 
08:55:11.758 -> 7.00, 31.81, 6.25, 32.38, 
08:55:13.853 -> 7.00, 31.81, 6.25, 32.38, 
08:55:15.929 -> 7.00, 31.81, 6.25, 32.38, 
08:55:18.049 -> 7.00, 31.81, 6.19, 32.38, 
08:55:20.158 -> 7.00, 31.81, 6.19, 32.38, 
08:55:22.203 -> 7.00, 31.87, 6.19, 32.44, 
08:55:24.259 -> 7.00, 31.81, 6.13, 32.44, 
08:55:26.361 -> 7.00, 31.87, 6.13, 32.44, 
08:55:28.458 -> 7.00, 31.87, 6.13, 32.44, 
08:55:30.536 -> 7.00, 31.87, 6.13, 32.38, 
08:55:32.640 -> 7.00, 31.87, 6.13, 32.38, 
08:55:34.724 -> 7.00, 31.81, 6.06, 32.38, 
08:55:36.809 -> 7.00, 31.81, 6.06, 32.31, 
08:55:38.908 -> 7.00, 31.81, 6.06, 32.31, 
08:55:40.961 -> 7.00, 31.81, 6.06, 32.31, 
08:55:43.065 -> 7.00, 31.81, 6.00, 32.31, 
08:55:45.133 -> 7.00, 31.81, 6.00, 32.38, 
08:55:47.242 -> 7.00, 31.81, 6.00, 32.38, 
08:55:49.295 -> 7.00, 31.81, 6.00, 32.38, 
08:55:51.417 -> 7.00, 31.81, 5.94, 32.38, 
08:55:53.485 -> 7.00, 31.81, 5.94, 32.38, 
08:55:55.588 -> 7.00, 31.81, 5.94, 32.38, 
08:55:57.647 -> 7.00, 31.81, 5.94, 32.31, 
08:55:59.742 -> 7.00, 31.81, 5.94, 32.31, 
08:56:01.842 -> 7.00, 31.81, 5.88, 32.31, 
08:56:03.911 -> 7.00, 31.81, 5.81, 32.38, 
08:56:05.981 -> 7.00, 31.81, 5.81, 32.38, 
08:56:08.086 -> 7.00, 31.87, 5.75, 32.38, 
08:56:10.157 -> 7.00, 31.87, 5.75, 32.38, 
08:56:12.251 -> 7.00, 31.87, 5.69, 32.38, 
08:56:14.357 -> 7.00, 31.87, 5.63, 32.38, 
08:56:16.445 -> 7.00, 31.87, 5.63, 32.38, 
08:56:18.499 -> 7.00, 31.87, 5.56, 32.38, 
08:56:20.593 -> 7.00, 31.87, 5.56, 32.38, 
08:56:22.683 -> 7.00, 31.87, 5.63, 32.44, 
08:56:24.780 -> 7.00, 31.87, 5.63, 32.44, 
08:56:26.876 -> 7.00, 31.87, 5.63, 32.44, 
08:56:28.932 -> 7.00, 31.87, 5.63, 32.44, 
08:56:31.034 -> 6.50, 31.87, 5.56, 32.44, 
08:56:33.103 -> 6.50, 31.87, 5.56, 32.44, 
08:56:35.213 -> 6.50, 31.87, 5.50, 32.44, 
08:56:37.296 -> 6.50, 31.87, 5.50, 32.50, 
08:56:39.355 -> 6.50, 31.81, 5.44, 32.50, 
08:56:41.461 -> 6.50, 31.87, 5.44, 32.50, 
08:56:43.521 -> 6.50, 31.87, 5.44, 32.50, 
08:56:45.624 -> 6.50, 31.87, 5.38, 32.44, 
08:56:47.730 -> 6.50, 31.87, 5.38, 32.44, 
08:56:49.803 -> 6.50, 31.87, 5.38, 32.38, 
08:56:51.881 -> 6.50, 31.87, 5.31, 32.38, 
08:56:53.974 -> 6.50, 31.87, 5.31, 32.38, 
08:56:56.030 -> 6.50, 31.94, 5.31, 32.44, 
08:56:58.130 -> 6.50, 31.94, 5.31, 32.44, 
08:57:00.209 -> 6.50, 31.94, 5.25, 32.44, 
08:57:02.312 -> 6.50, 31.94, 5.25, 32.44, 
08:57:04.414 -> 6.50, 31.87, 5.25, 32.44, 
08:57:06.504 -> 6.50, 31.94, 5.25, 32.44, 
08:57:08.571 -> 6.50, 31.87, 5.25, 32.50, 
08:57:10.640 -> 6.50, 31.94, 5.25, 32.44, 
08:57:12.744 -> 6.50, 31.94, 5.25, 32.44, 
08:57:14.816 -> 6.50, 31.94, 5.25, 32.50, 
08:57:16.923 -> 6.50, 31.87, 5.25, 32.50, 
08:57:19.015 -> 6.50, 31.87, 5.31, 32.50, 
08:57:21.097 -> 6.50, 31.87, 5.25, 32.50, 
08:57:23.184 -> 6.50, 31.87, 5.25, 32.50, 
08:57:25.236 -> 6.50, 31.87, 5.25, 32.50, 
08:57:27.352 -> 6.50, 31.87, 5.25, 32.56, 
08:57:29.422 -> 6.50, 31.87, 5.25, 32.50, 
08:57:31.525 -> 6.50, 31.87, 5.25, 32.44, 
08:57:33.580 -> 6.50, 31.87, 5.25, 32.44, 
08:57:35.684 -> 6.50, 31.87, 5.25, 32.44, 
08:57:37.762 -> 6.50, 31.87, 5.25, 32.44, 
08:57:39.860 -> 6.50, 31.94, 5.25, 32.38, 
08:57:41.948 -> 6.50, 31.87, 5.31, 32.38, 
08:57:44.005 -> 6.50, 31.87, 5.25, 32.38, 
08:57:46.110 -> 6.50, 31.87, 5.25, 32.38, 
08:57:48.209 -> 6.50, 31.87, 5.19, 32.38, 
08:57:50.297 -> 6.50, 31.94, 5.13, 32.38, 
08:57:52.355 -> 6.50, 31.94, 5.13, 32.44, 
08:57:54.458 -> 6.50, 31.94, 5.06, 32.38, 
08:57:56.550 -> 6.50, 31.94, 5.06, 32.44, 
08:57:58.650 -> 6.50, 31.94, 5.06, 32.44, 
08:58:00.720 -> 6.50, 31.94, 5.00, 32.50, 
08:58:02.816 -> 6.50, 31.94, 5.00, 32.50, 
08:58:04.891 -> 6.50, 31.94, 4.94, 32.56, 
08:58:06.952 -> 6.50, 31.94, 4.94, 32.56, 
08:58:09.074 -> 6.50, 31.94, 4.94, 32.56, 
08:58:11.141 -> 6.50, 31.94, 4.88, 32.56, 
08:58:13.237 -> 6.50, 31.94, 4.88, 32.63, 
08:58:15.313 -> 6.50, 31.94, 4.81, 32.63, 
08:58:17.382 -> 6.50, 31.94, 4.81, 32.63, 
08:58:19.498 -> 6.50, 31.94, 4.75, 32.63, 
08:58:21.578 -> 6.00, 31.94, 4.81, 32.63, 
08:58:23.664 -> 6.00, 32.00, 4.75, 32.63, 
08:58:25.754 -> 6.00, 31.94, 4.75, 32.63, 
08:58:27.825 -> 6.00, 32.00, 4.75, 32.56, 
08:58:29.894 -> 6.00, 31.94, 4.75, 32.56, 
08:58:32.004 -> 6.00, 31.94, 4.75, 32.56, 
08:58:34.071 -> 6.00, 31.94, 4.69, 32.56, 
08:58:36.174 -> 6.00, 31.94, 4.69, 32.56, 
08:58:38.248 -> 6.00, 31.94, 4.69, 32.56, 
08:58:40.341 -> 6.00, 31.94, 4.69, 32.50, 
08:58:42.445 -> 6.00, 31.94, 4.69, 32.50, 
08:58:44.499 -> 6.00, 31.94, 4.69, 32.50, 
08:58:46.602 -> 6.00, 31.94, 4.75, 32.50, 
08:58:48.678 -> 6.00, 31.94, 4.75, 32.44, 
08:58:50.766 -> 6.00, 31.87, 4.75, 32.44, 
