10:15:37.380 ->  Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:15:39.304 -> 3.50, 36.38, 1.63, 37.88, 
10:15:41.364 -> 3.50, 36.38, 1.63, 37.88, 
10:15:43.441 -> 3.50, 36.38, 1.63, 37.88, 
10:15:45.540 -> 3.50, 36.38, 1.63, 37.88, 
10:15:47.642 -> 3.50, 36.38, 1.63, 37.88, 
10:15:49.729 -> 3.50, 36.38, 1.69, 37.88, 
10:15:51.781 -> 3.50, 36.38, 1.69, 37.81, 
10:15:53.887 -> 3.50, 36.38, 1.69, 37.81, 
10:15:55.973 -> 3.50, 36.38, 1.63, 37.81, 
10:15:58.083 -> 3.50, 36.38, 1.63, 37.75, 
10:16:00.133 -> 3.50, 36.38, 1.56, 37.75, 
10:16:02.230 -> 3.50, 36.44, 1.50, 37.75, 
10:16:04.311 -> 3.50, 36.44, 1.44, 37.81, 
10:16:06.393 -> 3.50, 36.50, 1.44, 37.81, 
10:16:08.465 -> 3.50, 36.50, 1.37, 37.81, 
10:16:10.561 -> 3.50, 36.50, 1.44, 37.81, 
10:16:12.670 -> 3.50, 36.50, 1.56, 37.88, 
10:16:14.768 -> 3.50, 36.56, 1.63, 37.88, 
10:16:16.848 -> 3.50, 36.56, 1.75, 37.88, 
10:16:18.915 -> 3.50, 36.56, 1.81, 37.88, 
10:16:21.005 -> 3.50, 36.56, 1.88, 37.94, 
10:16:23.086 -> 3.50, 36.63, 1.94, 37.94, 
10:16:25.186 -> 3.50, 36.63, 1.94, 37.94, 
10:16:27.270 -> 3.50, 36.63, 1.94, 37.94, 
10:16:29.336 -> 3.50, 36.63, 1.94, 37.94, 
10:16:31.401 -> 3.50, 36.69, 1.88, 37.94, 
10:16:33.505 -> 3.50, 36.69, 1.88, 37.94, 
10:16:35.601 -> 3.50, 36.69, 1.81, 37.94, 
10:16:37.682 -> 3.50, 36.69, 1.81, 37.94, 
10:16:39.749 -> 3.50, 36.69, 1.88, 37.94, 
10:16:41.858 -> 3.50, 36.69, 1.88, 38.00, 
10:16:43.947 -> 3.50, 36.69, 1.88, 37.94, 
10:16:46.007 -> 3.50, 36.69, 1.88, 37.94, 
10:16:48.124 -> 3.50, 36.69, 1.88, 37.94, 
10:16:50.190 -> 3.50, 36.69, 1.88, 38.00, 
10:16:52.264 -> 3.50, 36.75, 1.81, 38.00, 
10:16:54.345 -> 3.50, 36.75, 1.81, 38.00, 
10:16:56.424 -> 3.50, 36.75, 1.81, 38.06, 
10:16:58.546 -> 3.50, 36.75, 1.75, 38.00, 
10:17:00.609 -> 3.50, 36.75, 1.75, 38.00, 
10:17:02.689 -> 3.50, 36.75, 1.75, 38.00, 
10:17:04.803 -> 3.50, 36.75, 1.75, 38.00, 
10:17:06.896 -> 3.50, 36.75, 1.75, 38.00, 
10:17:08.962 -> 3.50, 36.75, 1.75, 38.00, 
10:17:11.059 -> 3.50, 36.69, 1.75, 37.94, 
10:17:13.141 -> 3.50, 36.69, 1.81, 38.00, 
