08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
09:55:12.500 -> 14.00, 43.44, 13.06, 47.06,
09:55:14.588 -> 14.00, 43.44, 13.06, 47.00, 
09:55:16.669 -> 14.00, 43.44, 13.13, 47.00, 
09:55:18.732 -> 14.00, 43.44, 13.13, 47.00, 
09:55:20.830 -> 14.00, 43.44, 13.19, 47.00, 
09:55:22.919 -> 14.00, 43.44, 13.19, 47.00, 
09:55:24.973 -> 14.00, 43.44, 13.25, 47.00, 
09:55:27.086 -> 14.00, 43.44, 13.25, 47.00, 
09:55:29.159 -> 14.00, 43.44, 13.25, 47.00, 
09:55:31.220 -> 14.00, 43.44, 13.25, 47.00, 
09:55:33.325 -> 14.00, 43.44, 13.31, 47.00, 
09:55:35.418 -> 14.00, 43.44, 13.31, 47.00, 
09:55:37.467 -> 14.00, 43.44, 13.31, 47.00, 
09:55:39.572 -> 14.50, 43.44, 13.31, 47.00, 
09:55:41.654 -> 14.50, 43.44, 13.38, 47.00, 
09:55:43.723 -> 14.50, 43.44, 13.38, 47.00, 
09:55:45.801 -> 14.50, 43.44, 13.44, 47.00, 
09:55:47.904 -> 14.50, 43.44, 13.44, 47.00, 
09:55:49.964 -> 14.50, 43.44, 13.44, 47.00, 
09:55:52.079 -> 14.50, 43.44, 13.50, 47.06, 
09:55:54.123 -> 14.50, 43.50, 13.50, 47.06, 
09:55:56.207 -> 14.50, 43.50, 13.50, 47.06, 
09:55:58.312 -> 14.50, 43.50, 13.56, 47.06, 
09:56:00.402 -> 14.50, 43.50, 13.56, 47.06, 
09:56:02.455 -> 14.50, 43.50, 13.56, 47.13, 
09:56:04.569 -> 14.50, 43.56, 13.56, 47.19, 
09:56:06.637 -> 14.50, 43.56, 13.63, 47.19, 
09:56:08.728 -> 14.50, 43.56, 13.63, 47.19, 
09:56:10.775 -> 14.50, 43.56, 13.63, 47.25, 
