08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
09:21:27.020 -> 3.50, 45.94, 4.00, 47.06, 
09:21:29.123 -> 3.50, 45.88, 4.06, 47.00, 
09:21:31.201 -> 3.50, 45.88, 4.06, 47.06, 
09:21:33.276 -> 3.50, 45.88, 4.13, 47.06, 
09:21:35.369 -> 3.50, 45.88, 4.13, 47.06, 
09:21:37.450 -> 3.50, 45.88, 4.19, 47.06, 
09:21:39.525 -> 3.50, 45.88, 4.19, 47.06, 
09:21:41.627 -> 3.50, 45.88, 4.13, 47.06, 
09:21:43.708 -> 3.50, 45.88, 4.25, 47.06, 
09:21:45.802 -> 3.50, 45.88, 4.19, 47.06, 
09:21:47.850 -> 3.00, 45.81, 4.19, 47.06, 
09:21:49.964 -> 3.00, 45.88, 4.19, 47.13, 
09:21:52.051 -> 3.00, 45.88, 4.13, 47.13, 
09:21:54.117 -> 3.00, 45.88, 4.13, 47.19, 
09:21:56.210 -> 3.00, 45.88, 4.06, 47.25, 
09:21:58.306 -> 3.50, 45.94, 3.94, 47.31, 
09:22:00.381 -> 3.50, 45.94, 3.94, 47.31, 
09:22:02.432 -> 3.50, 45.94, 3.88, 47.38, 
09:22:04.540 -> 3.50, 46.00, 3.88, 47.31, 
09:22:06.636 -> 3.50, 46.06, 3.81, 47.31, 
09:22:08.713 -> 3.50, 46.00, 3.81, 47.31, 
09:22:10.763 -> 3.50, 46.06, 3.81, 47.31, 
09:22:12.858 -> 3.50, 46.06, 3.81, 47.25, 
09:22:14.967 -> 3.50, 46.00, 3.88, 47.25, 
09:22:17.008 -> 3.00, 46.00, 3.88, 47.19, 
09:22:19.107 -> 3.00, 46.00, 3.94, 47.25, 
09:22:21.200 -> 3.00, 46.00, 3.94, 47.25, 
09:22:23.267 -> 3.00, 46.00, 3.88, 47.25, 
09:22:25.361 -> 3.00, 46.06, 3.88, 47.31, 
09:22:27.442 -> 3.00, 46.06, 3.88, 47.31, 
09:22:29.540 -> 3.00, 46.00, 3.81, 47.31, 
09:22:31.614 -> 3.00, 46.06, 3.81, 47.38, 
09:22:33.690 -> 3.00, 46.13, 3.81, 47.38, 
09:22:35.797 -> 3.00, 46.13, 3.75, 47.44, 
09:22:37.859 -> 3.00, 46.13, 3.69, 47.44, 
09:22:39.923 -> 3.00, 46.13, 3.69, 47.44, 
09:22:42.040 -> 3.00, 46.13, 3.69, 47.38, 
09:22:44.114 -> 3.00, 46.13, 3.69, 47.38, 
09:22:46.196 -> 3.00, 46.13, 3.69, 47.38, 
09:22:48.290 -> 3.00, 46.13, 3.69, 47.38, 
09:22:50.342 -> 3.00, 46.13, 3.69, 47.38, 
09:22:52.447 -> 3.00, 46.13, 3.69, 47.38, 
09:22:54.541 -> 3.00, 46.13, 3.75, 47.31, 
09:22:56.603 -> 3.00, 46.13, 3.81, 47.31, 
09:22:58.700 -> 3.00, 46.13, 3.81, 47.25, 
09:23:00.797 -> 3.00, 46.13, 3.81, 47.25, 
09:23:02.860 -> 3.00, 46.19, 3.75, 47.31, 
09:23:04.929 -> 3.00, 46.19, 3.75, 47.31, 
09:23:07.016 -> 3.00, 46.25, 3.69, 47.38, 
09:23:09.087 -> 3.00, 46.25, 3.69, 47.38, 
09:23:11.184 -> 3.00, 46.25, 3.63, 47.31, 
09:23:13.277 -> 3.00, 46.25, 3.56, 47.31, 
09:23:15.346 -> 3.00, 46.25, 3.56, 47.31, 
09:23:17.454 -> 3.00, 46.25, 3.56, 47.31, 
09:23:19.543 -> 3.00, 46.19, 3.56, 47.31, 
09:23:21.628 -> 3.00, 46.19, 3.63, 47.31, 
09:23:23.699 -> 3.00, 46.19, 3.63, 47.31, 
09:23:25.772 -> 3.00, 46.19, 3.69, 47.31, 
09:23:27.864 -> 3.00, 46.19, 3.69, 47.25, 
09:23:29.932 -> 3.00, 46.13, 3.69, 47.19, 
09:23:32.021 -> 3.00, 46.13, 3.75, 47.25, 
09:23:34.123 -> 3.00, 46.13, 3.81, 47.19, 
09:23:36.167 -> 3.00, 46.06, 3.81, 47.25, 
09:23:38.279 -> 3.00, 46.13, 3.81, 47.31, 
09:23:40.369 -> 3.00, 46.13, 3.75, 47.31, 
09:23:42.432 -> 3.00, 46.13, 3.81, 47.31, 
09:23:44.497 -> 3.00, 46.13, 3.75, 47.31, 
09:23:46.626 -> 3.00, 46.13, 3.69, 47.31, 
09:23:48.674 -> 3.00, 46.13, 3.63, 47.31, 
09:23:50.785 -> 3.00, 46.13, 3.63, 47.38, 
09:23:52.851 -> 3.00, 46.19, 3.63, 47.38, 
09:23:54.948 -> 3.00, 46.19, 3.63, 47.38, 
09:23:56.995 -> 3.00, 46.19, 3.69, 47.31, 
09:23:59.090 -> 3.00, 46.19, 3.69, 47.31, 
09:24:01.176 -> 3.00, 46.19, 3.69, 47.31, 
09:24:03.289 -> 3.00, 46.19, 3.63, 47.31, 
09:24:05.334 -> 3.00, 46.25, 3.63, 47.31, 
09:24:07.427 -> 3.00, 46.25, 3.63, 47.31, 
09:24:09.526 -> 3.00, 46.25, 3.63, 47.31, 
09:24:11.598 -> 3.00, 46.25, 3.56, 47.25, 
09:24:13.704 -> 3.00, 46.25, 3.56, 47.31, 
09:24:15.763 -> 3.00, 46.19, 3.56, 47.31, 
09:24:17.855 -> 3.00, 46.19, 3.56, 47.31, 
09:24:19.936 -> 3.00, 46.19, 3.50, 47.31, 
09:24:21.996 -> 3.00, 46.19, 3.50, 47.31, 
09:24:24.116 -> 3.00, 46.19, 3.50, 47.25, 
09:24:26.170 -> 3.00, 46.19, 3.56, 47.25, 
09:24:28.252 -> 3.00, 46.19, 3.56, 47.25, 
09:24:30.340 -> 3.00, 46.19, 3.63, 47.19, 
09:24:32.419 -> 3.00, 46.19, 3.63, 47.19, 
09:24:34.507 -> 3.00, 46.13, 3.63, 47.25, 
09:24:36.593 -> 3.00, 46.13, 3.63, 47.19, 
09:24:38.655 -> 3.00, 46.19, 3.63, 47.19, 
09:24:40.756 -> 3.00, 46.13, 3.56, 47.19, 
09:24:42.858 -> 3.00, 46.19, 3.56, 47.19, 
09:24:44.920 -> 3.00, 46.13, 3.63, 47.19, 
09:24:47.005 -> 3.00, 46.13, 3.63, 47.13, 
09:24:49.111 -> 3.00, 46.13, 3.63, 47.13, 
09:24:51.186 -> 3.00, 46.13, 3.69, 47.06, 
09:24:53.263 -> 3.00, 46.06, 3.69, 47.06, 
09:24:55.359 -> 3.00, 46.06, 3.69, 47.06, 
09:24:57.435 -> 3.00, 46.06, 3.69, 47.00, 
09:24:59.487 -> 3.00, 46.06, 3.75, 47.00, 
09:25:01.586 -> 3.00, 46.06, 3.69, 47.00, 
09:25:03.688 -> 3.00, 46.06, 3.69, 47.06, 
09:25:05.736 -> 3.00, 46.06, 3.69, 47.06, 
09:25:07.847 -> 3.00, 46.00, 3.75, 47.06, 
09:25:09.900 -> 3.00, 46.00, 3.75, 47.13, 
09:25:12.011 -> 3.00, 46.00, 3.69, 47.13, 
09:25:14.112 -> 3.00, 46.00, 3.75, 47.13, 
09:25:16.188 -> 3.00, 46.00, 3.75, 47.13, 
09:25:18.257 -> 3.00, 46.00, 3.75, 47.13, 
09:25:20.319 -> 3.00, 46.00, 3.75, 47.06, 
09:25:22.419 -> 3.00, 45.94, 3.81, 47.06, 
09:25:24.500 -> 3.00, 45.94, 3.81, 47.06, 
09:25:26.568 -> 3.00, 45.94, 3.88, 47.00, 
09:25:28.684 -> 3.00, 45.94, 3.88, 47.06, 
09:25:30.764 -> 3.00, 45.94, 3.88, 47.06, 
09:25:32.847 -> 3.00, 45.94, 3.88, 47.06, 
09:25:34.941 -> 3.00, 45.94, 3.81, 47.06, 
09:25:37.022 -> 3.00, 45.94, 3.81, 47.13, 
09:25:39.069 -> 3.00, 45.94, 3.75, 47.06, 
09:25:41.159 -> 3.00, 45.94, 3.75, 47.06, 
09:25:43.248 -> 3.00, 45.94, 3.81, 47.13, 
09:25:45.337 -> 3.00, 45.94, 3.88, 47.06, 
09:25:47.428 -> 3.00, 45.94, 3.88, 47.06, 
09:25:49.482 -> 3.00, 45.94, 3.94, 47.00, 
09:25:51.562 -> 3.00, 45.94, 3.94, 47.00, 
09:25:53.644 -> 3.00, 45.94, 4.00, 47.00, 
09:25:55.727 -> 3.00, 45.94, 4.00, 46.94, 
09:25:57.822 -> 3.00, 45.94, 4.00, 46.94, 
09:25:59.906 -> 3.00, 45.94, 3.94, 46.94, 
09:26:01.984 -> 3.00, 45.94, 3.94, 46.94, 
09:26:04.066 -> 3.00, 45.94, 3.88, 47.00, 
09:26:06.147 -> 3.00, 45.94, 3.81, 47.00, 
09:26:08.238 -> 3.00, 45.94, 3.81, 47.00, 
09:26:10.327 -> 3.50, 45.94, 3.81, 47.00, 
09:26:12.410 -> 3.50, 45.94, 3.81, 47.06, 
09:26:14.492 -> 3.50, 45.94, 3.81, 47.06, 
09:26:16.578 -> 3.50, 45.94, 3.81, 47.06, 
09:26:18.654 -> 3.50, 45.94, 3.81, 47.13, 
09:26:20.738 -> 3.50, 46.00, 3.81, 47.13, 
09:26:22.813 -> 3.50, 46.00, 3.75, 47.13, 
09:26:24.895 -> 3.50, 46.00, 3.75, 47.06, 
09:26:26.977 -> 3.50, 46.00, 3.75, 47.06, 
09:26:29.071 -> 3.00, 46.00, 3.69, 47.06, 
09:26:31.155 -> 3.00, 45.94, 3.75, 47.06, 
09:26:33.247 -> 3.00, 46.00, 3.75, 47.06, 
09:26:35.330 -> 3.00, 46.00, 3.81, 47.00, 
09:26:37.414 -> 3.00, 45.94, 3.81, 47.00, 
09:26:39.497 -> 3.00, 46.00, 3.81, 47.00, 
09:26:41.583 -> 3.00, 46.00, 3.81, 47.00, 
09:26:43.670 -> 3.00, 46.00, 3.81, 46.94, 
09:26:45.763 -> 3.00, 46.00, 3.81, 46.94, 
09:26:47.807 -> 3.00, 46.00, 3.81, 46.94, 
09:26:49.887 -> 3.00, 46.00, 3.81, 46.94, 
09:26:51.972 -> 3.00, 46.00, 3.75, 47.00, 
09:26:54.055 -> 3.00, 46.00, 3.75, 47.00, 
09:26:56.180 -> 3.00, 46.00, 3.75, 47.00, 
09:26:58.216 -> 3.00, 46.00, 3.69, 47.00, 
09:27:00.342 -> 3.00, 46.06, 3.75, 47.00, 
09:27:02.426 -> 3.00, 46.00, 3.75, 47.00, 
09:27:04.508 -> 3.00, 46.00, 3.75, 46.94, 
09:27:06.596 -> 3.00, 46.06, 3.69, 46.94, 
09:27:08.671 -> 3.00, 46.00, 3.75, 46.94, 
09:27:10.748 -> 3.00, 46.00, 3.75, 47.00, 
09:27:12.842 -> 3.00, 46.00, 3.81, 46.94, 
09:27:14.882 -> 3.00, 46.00, 3.81, 46.94, 
09:27:17.005 -> 3.00, 46.00, 3.81, 46.88, 
09:27:19.081 -> 3.00, 46.00, 3.81, 46.88, 
09:27:21.162 -> 3.50, 46.00, 3.81, 46.88, 
09:27:23.244 -> 3.50, 46.00, 3.81, 46.88, 
09:27:25.333 -> 3.50, 46.00, 3.81, 46.88, 
09:27:27.420 -> 3.50, 46.00, 3.81, 46.94, 
09:27:29.505 -> 3.50, 46.00, 3.81, 46.88, 
09:27:31.591 -> 3.50, 46.00, 3.81, 46.94, 
09:27:33.633 -> 3.50, 46.00, 3.81, 46.94, 
09:27:35.760 -> 3.50, 46.00, 3.81, 46.94, 
09:27:37.799 -> 3.50, 46.00, 3.81, 46.94, 
09:27:39.890 -> 3.50, 46.00, 3.75, 46.94, 
09:27:41.971 -> 3.50, 46.00, 3.75, 46.94, 
09:27:44.063 -> 3.50, 46.00, 3.75, 46.94, 
09:27:46.141 -> 3.50, 46.06, 3.75, 47.00, 
09:27:48.213 -> 3.50, 46.06, 3.69, 47.00, 
09:27:50.294 -> 3.50, 46.13, 3.69, 47.06, 
09:27:52.422 -> 3.50, 46.19, 3.63, 47.06, 
09:27:54.506 -> 3.50, 46.19, 3.56, 47.06, 
09:27:56.549 -> 3.50, 46.19, 3.63, 47.06, 
09:27:58.637 -> 3.50, 46.19, 3.63, 47.06, 
09:28:00.719 -> 3.00, 46.19, 3.63, 47.06, 
09:28:02.804 -> 3.00, 46.19, 3.69, 47.06, 
09:28:04.888 -> 3.00, 46.19, 3.75, 47.06, 
09:28:06.972 -> 3.00, 46.19, 3.75, 47.06, 
09:28:09.062 -> 3.00, 46.19, 3.75, 47.00, 
09:28:11.154 -> 3.00, 46.13, 3.75, 47.06, 
09:28:13.230 -> 3.00, 46.13, 3.75, 47.06, 
09:28:15.318 -> 3.00, 46.13, 3.69, 47.06, 
09:28:17.403 -> 3.00, 46.19, 3.69, 47.06, 
09:28:19.489 -> 3.00, 46.19, 3.63, 47.13, 
09:28:21.580 -> 3.00, 46.19, 3.63, 47.13, 
09:28:23.667 -> 3.00, 46.19, 3.56, 47.13, 
09:28:25.750 -> 3.00, 46.19, 3.56, 47.19, 
09:28:27.790 -> 3.00, 46.19, 3.56, 47.19, 
09:28:29.884 -> 3.00, 46.25, 3.56, 47.19, 
09:28:31.965 -> 3.00, 46.19, 3.56, 47.19, 
09:28:34.075 -> 3.00, 46.25, 3.56, 47.19, 
09:28:36.119 -> 3.00, 46.25, 3.56, 47.19, 
09:28:38.232 -> 3.00, 46.25, 3.50, 47.25, 
09:28:40.298 -> 3.00, 46.25, 3.44, 47.25, 
09:28:42.386 -> 3.00, 46.25, 3.44, 47.25, 
09:28:44.476 -> 3.00, 46.31, 3.38, 47.19, 
09:28:46.535 -> 3.00, 46.25, 3.44, 47.25, 
09:28:48.662 -> 3.00, 46.31, 3.44, 47.25, 
09:28:50.700 -> 3.00, 46.31, 3.44, 47.25, 
09:28:52.822 -> 3.00, 46.31, 3.50, 47.19, 
09:28:54.868 -> 3.00, 46.25, 3.50, 47.19, 
09:28:56.953 -> 3.00, 46.25, 3.50, 47.19, 
09:28:59.049 -> 3.00, 46.25, 3.50, 47.25, 
09:29:01.134 -> 3.00, 46.19, 3.63, 47.25, 
09:29:03.223 -> 3.00, 46.19, 3.56, 47.25, 
09:29:05.315 -> 3.00, 46.19, 3.56, 47.25, 
09:29:07.398 -> 3.00, 46.19, 3.63, 47.25, 
09:29:09.477 -> 3.00, 46.13, 3.63, 47.25, 
09:29:11.557 -> 3.00, 46.13, 3.63, 47.25, 
09:29:13.643 -> 3.00, 46.13, 3.63, 47.31, 
09:29:15.733 -> 3.00, 46.13, 3.63, 47.38, 
09:29:17.810 -> 3.00, 46.13, 3.63, 47.38, 
09:29:19.884 -> 3.00, 46.13, 3.56, 47.44, 
09:29:21.960 -> 3.00, 46.19, 3.56, 47.44, 
09:29:24.040 -> 3.00, 46.13, 3.63, 47.44, 
09:29:26.125 -> 3.00, 46.19, 3.63, 47.44, 
09:29:28.211 -> 3.00, 46.19, 3.69, 47.44, 
09:29:30.300 -> 3.00, 46.13, 3.69, 47.38, 
09:29:32.391 -> 3.00, 46.13, 3.69, 47.38, 
09:29:34.484 -> 3.00, 46.13, 3.69, 47.38, 
09:29:36.568 -> 3.00, 46.13, 3.75, 47.31, 
09:29:38.649 -> 3.00, 46.13, 3.75, 47.31, 
09:29:40.729 -> 3.00, 46.13, 3.81, 47.31, 
09:29:42.808 -> 3.00, 46.13, 3.75, 47.31, 
09:29:44.885 -> 3.00, 46.13, 3.81, 47.31, 
09:29:46.962 -> 3.00, 46.13, 3.81, 47.31, 
09:29:49.039 -> 3.00, 46.06, 3.75, 47.31, 
09:29:51.116 -> 3.00, 46.06, 3.75, 47.25, 
09:29:53.203 -> 3.00, 46.06, 3.75, 47.31, 
09:29:55.289 -> 3.50, 46.06, 3.75, 47.31, 
09:29:57.369 -> 3.50, 46.06, 3.75, 47.25, 
09:29:59.446 -> 3.50, 46.06, 3.75, 47.25, 
09:30:01.535 -> 3.50, 46.13, 3.75, 47.25, 
09:30:03.617 -> 3.50, 46.13, 3.75, 47.25, 
09:30:05.708 -> 3.50, 46.13, 3.75, 47.25, 
09:30:07.793 -> 3.50, 46.13, 3.69, 47.25, 
09:30:09.877 -> 3.50, 46.13, 3.69, 47.19, 
09:30:11.961 -> 3.50, 46.13, 3.75, 47.19, 
09:30:14.039 -> 3.50, 46.06, 3.75, 47.19, 
09:30:16.126 -> 3.00, 46.13, 3.75, 47.19, 
09:30:18.221 -> 3.50, 46.13, 3.69, 47.19, 
09:30:20.275 -> 3.50, 46.13, 3.69, 47.19, 
09:30:22.378 -> 3.00, 46.13, 3.69, 47.19, 
09:30:24.462 -> 3.50, 46.13, 3.69, 47.13, 
09:30:26.559 -> 3.50, 46.13, 3.63, 47.13, 
09:30:28.606 -> 3.50, 46.13, 3.63, 47.13, 
09:30:30.726 -> 3.50, 46.13, 3.56, 47.13, 
09:30:32.811 -> 3.50, 46.13, 3.56, 47.19, 
09:30:34.874 -> 3.50, 46.13, 3.63, 47.19, 
09:30:36.962 -> 3.50, 46.13, 3.63, 47.19, 
09:30:39.052 -> 3.50, 46.13, 3.56, 47.19, 
09:30:41.120 -> 3.50, 46.13, 3.56, 47.19, 
09:30:43.230 -> 3.50, 46.13, 3.56, 47.19, 
09:30:45.282 -> 3.50, 46.13, 3.50, 47.13, 
09:30:47.363 -> 3.50, 46.19, 3.56, 47.13, 
09:30:49.446 -> 3.50, 46.19, 3.56, 47.13, 
09:30:51.532 -> 3.50, 46.19, 3.56, 47.06, 
09:30:53.618 -> 3.50, 46.19, 3.50, 47.06, 
09:30:55.699 -> 3.50, 46.19, 3.56, 47.06, 
09:30:57.786 -> 3.50, 46.19, 3.50, 47.00, 
09:30:59.869 -> 3.50, 46.25, 3.56, 47.06, 
09:31:01.964 -> 3.50, 46.25, 3.56, 47.00, 
09:31:04.016 -> 3.50, 46.25, 3.56, 47.06, 
09:31:06.115 -> 3.50, 46.25, 3.56, 47.13, 
09:31:08.182 -> 3.50, 46.25, 3.56, 47.13, 
09:31:10.298 -> 3.50, 46.25, 3.56, 47.13, 
09:31:12.359 -> 3.50, 46.25, 3.56, 47.13, 
09:31:14.448 -> 3.50, 46.25, 3.56, 47.13, 
09:31:16.549 -> 3.50, 46.19, 3.63, 47.06, 
09:31:18.622 -> 3.50, 46.19, 3.69, 47.06, 
09:31:20.697 -> 3.50, 46.19, 3.69, 47.00, 
09:31:22.761 -> 3.50, 46.19, 3.75, 47.06, 
09:31:24.870 -> 3.50, 46.13, 3.75, 47.06, 
09:31:26.964 -> 3.50, 46.13, 3.75, 47.06, 
09:31:29.038 -> 3.50, 46.13, 3.75, 47.06, 
09:31:31.129 -> 3.50, 46.13, 3.75, 47.06, 
09:31:33.199 -> 3.50, 46.13, 3.75, 47.00, 
09:31:35.260 -> 3.50, 46.13, 3.81, 47.00, 
09:31:37.352 -> 3.00, 46.06, 3.81, 47.00, 
09:31:39.441 -> 3.00, 46.06, 3.81, 47.00, 
09:31:41.512 -> 3.00, 46.06, 3.81, 47.06, 
09:31:43.624 -> 3.00, 46.06, 3.81, 47.06, 
09:31:45.688 -> 3.00, 46.06, 3.75, 47.13, 
09:31:47.781 -> 3.00, 46.06, 3.75, 47.06, 
09:31:49.882 -> 3.00, 46.06, 3.69, 47.06, 
09:31:51.945 -> 3.00, 46.06, 3.69, 47.13, 
09:31:54.024 -> 3.00, 46.06, 3.69, 47.13, 
09:31:56.120 -> 3.00, 46.06, 3.69, 47.13, 
09:31:58.170 -> 3.00, 46.06, 3.69, 47.13, 
09:32:00.262 -> 3.00, 46.06, 3.63, 47.13, 
09:32:02.376 -> 3.00, 46.06, 3.63, 47.19, 
09:32:04.441 -> 3.00, 46.13, 3.56, 47.25, 
09:32:06.527 -> 3.00, 46.19, 3.56, 47.25, 
09:32:08.623 -> 3.00, 46.19, 3.56, 47.19, 
09:32:10.686 -> 3.00, 46.19, 3.50, 47.13, 
09:32:12.782 -> 3.00, 46.19, 3.56, 47.13, 
09:32:14.854 -> 3.00, 46.19, 3.56, 47.06, 
09:32:16.925 -> 3.00, 46.19, 3.63, 47.06, 
09:32:19.030 -> 3.00, 46.19, 3.63, 47.00, 
09:32:21.111 -> 3.00, 46.19, 3.69, 47.00, 
09:32:23.208 -> 3.00, 46.13, 3.63, 47.06, 
09:32:25.262 -> 3.00, 46.13, 3.63, 47.00, 
09:32:27.375 -> 3.00, 46.13, 3.69, 47.00, 
09:32:29.437 -> 3.50, 46.13, 3.69, 47.00, 
09:32:31.522 -> 3.00, 46.13, 3.69, 47.00, 
09:32:33.616 -> 3.00, 46.13, 3.75, 47.00, 
09:32:35.671 -> 3.00, 46.13, 3.75, 47.00, 
