08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
11:10:00.740 -> 29.50, 44.69, 27.87, 47.38,
11:10:02.802 -> 29.50, 44.69, 27.87, 47.38, 
11:10:04.907 -> 29.50, 44.69, 27.87, 47.44, 
11:10:06.958 -> 29.50, 44.69, 27.87, 47.44, 
11:10:09.026 -> 29.50, 44.69, 27.87, 47.44, 
11:10:11.117 -> 29.50, 44.69, 27.81, 47.44, 
11:10:13.204 -> 29.50, 44.69, 27.81, 47.44, 
11:10:15.297 -> 29.50, 44.69, 27.81, 47.44, 
11:10:17.380 -> 29.50, 44.75, 27.81, 47.44, 
11:10:19.431 -> 29.50, 44.75, 27.81, 47.44, 
11:10:21.511 -> 29.50, 44.75, 27.81, 47.44, 
11:10:23.578 -> 29.50, 44.75, 27.75, 47.50, 
11:10:25.680 -> 29.50, 44.75, 27.75, 47.50, 
11:10:27.775 -> 29.50, 44.81, 27.75, 47.56, 
11:10:29.843 -> 29.50, 44.81, 27.81, 47.56, 
11:10:31.901 -> 29.50, 44.81, 27.75, 47.56, 
11:10:33.975 -> 29.50, 44.81, 27.75, 47.56, 
11:10:36.095 -> 29.50, 44.81, 27.75, 47.56, 
11:10:38.167 -> 29.50, 44.81, 27.75, 47.63, 
11:10:40.255 -> 29.50, 44.81, 27.69, 47.63, 
11:10:42.305 -> 29.50, 44.81, 27.69, 47.69, 
11:10:44.385 -> 29.50, 44.88, 27.69, 47.69, 
11:10:46.451 -> 29.50, 44.88, 27.69, 47.75, 
11:10:48.552 -> 29.50, 44.88, 27.62, 47.81, 
11:10:50.621 -> 29.50, 44.88, 27.69, 47.81, 
11:10:52.732 -> 29.50, 44.88, 27.62, 47.81, 
11:10:54.794 -> 29.50, 44.88, 27.62, 47.81, 
11:10:56.875 -> 29.50, 44.88, 27.62, 47.81, 
11:10:58.934 -> 29.50, 44.88, 27.62, 47.75, 
11:11:01.035 -> 29.50, 44.88, 27.62, 47.75, 
11:11:03.121 -> 29.00, 44.88, 27.62, 47.75, 
11:11:05.176 -> 29.50, 44.88, 27.62, 47.69, 
11:11:07.278 -> 29.50, 44.81, 27.56, 47.69, 
11:11:09.330 -> 29.50, 44.81, 27.56, 47.69, 
11:11:11.427 -> 29.00, 44.81, 27.56, 47.63, 
11:11:13.506 -> 29.00, 44.81, 27.56, 47.56, 
11:11:15.582 -> 29.00, 44.75, 27.56, 47.56, 
11:11:17.653 -> 29.00, 44.75, 27.56, 47.56, 
11:11:19.761 -> 29.00, 44.75, 27.50, 47.50, 
11:11:21.830 -> 29.00, 44.69, 27.56, 47.50, 
11:11:23.883 -> 29.00, 44.69, 27.50, 47.44, 
11:11:25.988 -> 29.00, 44.69, 27.56, 47.44, 
11:11:28.037 -> 29.00, 44.63, 27.50, 47.44, 
11:11:30.128 -> 29.00, 44.63, 27.50, 47.44, 
11:11:32.223 -> 29.00, 44.63, 27.50, 47.38, 
11:11:34.282 -> 29.00, 44.63, 27.50, 47.38, 
11:11:36.380 -> 29.00, 44.63, 27.50, 47.31, 
11:11:38.441 -> 29.00, 44.56, 27.50, 47.31, 
11:11:40.542 -> 29.00, 44.56, 27.50, 47.31, 
11:11:42.610 -> 29.00, 44.56, 27.44, 47.31, 
11:11:44.695 -> 29.00, 44.56, 27.44, 47.31, 
11:11:46.769 -> 29.00, 44.56, 27.44, 47.31, 
