08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
12:49:18.933 -> 0.50, 27.75, -1.31, 28.44,
12:49:21.042 -> 0.50, 27.81, -1.31, 28.44, 
12:49:23.100 -> 1.00, 27.81, -1.31, 28.44, 
12:49:25.190 -> 1.00, 27.81, -1.31, 28.44, 
12:49:27.295 -> 1.00, 27.81, -1.31, 28.44, 
12:49:29.389 -> 1.00, 27.81, -1.31, 28.50, 
12:49:31.474 -> 1.00, 27.81, -1.31, 28.50, 
12:49:33.542 -> 1.00, 27.81, -1.31, 28.50, 
12:49:35.649 -> 1.00, 27.81, -1.31, 28.44, 
12:49:37.710 -> 1.00, 27.81, -1.31, 28.50, 
12:49:39.830 -> 1.00, 27.81, -1.31, 28.50, 
12:49:41.910 -> 1.00, 27.81, -1.31, 28.50, 
12:49:43.999 -> 1.00, 27.81, -1.37, 28.50, 
12:49:46.061 -> 1.00, 27.81, -1.31, 28.50, 
12:49:48.180 -> 1.00, 27.81, -1.37, 28.50, 
12:49:50.243 -> 1.00, 27.81, -1.37, 28.50, 
12:49:52.330 -> 1.00, 27.81, -1.37, 28.50, 
12:49:54.437 -> 1.00, 27.81, -1.37, 28.50, 
12:49:56.499 -> 1.00, 27.81, -1.37, 28.44, 
12:49:58.602 -> 1.00, 27.87, -1.44, 28.50, 
12:50:00.698 -> 1.00, 27.81, -1.44, 28.50, 
12:50:02.771 -> 1.00, 27.81, -1.37, 28.50, 
12:50:04.850 -> 1.00, 27.81, -1.37, 28.50, 
12:50:06.965 -> 1.00, 27.81, -1.37, 28.56, 
12:50:09.030 -> 1.00, 27.81, -1.44, 28.56, 
12:50:11.126 -> 1.00, 27.87, -1.44, 28.62, 
12:50:13.227 -> 1.00, 27.87, -1.44, 28.62, 
12:50:15.312 -> 1.00, 27.87, -1.44, 28.69, 
12:50:17.363 -> 1.00, 27.94, -1.44, 28.69, 
12:50:19.486 -> 1.00, 27.94, -1.44, 28.75, 
12:50:21.582 -> 1.00, 27.94, -1.44, 28.81, 
12:50:23.660 -> 1.00, 28.00, -1.44, 28.87, 
12:50:25.723 -> 1.00, 28.06, -1.44, 28.94, 
12:50:27.845 -> 1.00, 28.12, -1.37, 29.06, 
12:50:29.924 -> 1.00, 28.19, -1.37, 29.12, 
12:50:32.013 -> 1.00, 28.25, -1.44, 29.25, 
12:50:34.092 -> 1.00, 28.31, -1.37, 29.37, 
