08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
11:45:20.100 -> 2.00, 27.87, -1.00, 28.62, 
11:45:22.178 -> 2.00, 27.87, -1.00, 28.62, 
11:45:24.296 -> 2.00, 27.87, -1.00, 28.62, 
11:45:26.393 -> 2.00, 27.87, -0.94, 28.62, 
11:45:28.458 -> 2.00, 27.87, -1.00, 28.62, 
11:45:30.556 -> 2.00, 27.87, -0.94, 28.62, 
11:45:32.628 -> 2.00, 27.87, -0.94, 28.62, 
11:45:34.709 -> 2.00, 27.87, -0.94, 28.62, 
11:45:36.827 -> 2.00, 27.87, -0.88, 28.62, 
11:45:38.890 -> 2.00, 27.87, -0.88, 28.62, 
11:45:40.962 -> 2.00, 27.87, -0.88, 28.62, 
11:45:43.089 -> 2.00, 27.87, -0.88, 28.62, 
11:45:45.156 -> 2.00, 27.87, -0.88, 28.62, 
11:45:47.262 -> 2.00, 27.87, -0.88, 28.56, 
11:45:49.347 -> 2.00, 27.87, -0.88, 28.56, 
11:45:51.414 -> 2.00, 27.87, -0.88, 28.62, 
11:45:53.485 -> 2.00, 27.87, -0.88, 28.56, 
11:45:55.596 -> 2.00, 27.87, -0.88, 28.62, 
11:45:57.667 -> 2.00, 27.87, -0.88, 28.56, 
11:45:59.785 -> 2.00, 27.87, -0.88, 28.56, 
11:46:01.857 -> 2.00, 27.81, -0.88, 28.56, 
11:46:03.967 -> 2.00, 27.87, -0.88, 28.56, 
11:46:06.038 -> 2.00, 27.87, -0.88, 28.56, 
11:46:08.117 -> 2.00, 27.87, -0.88, 28.62, 
11:46:10.204 -> 1.50, 27.87, -0.88, 28.62, 
11:46:12.283 -> 1.50, 27.87, -0.88, 28.56, 
11:46:14.400 -> 1.50, 27.87, -0.88, 28.56, 
11:46:16.464 -> 1.50, 27.87, -0.88, 28.56, 
11:46:18.539 -> 1.50, 27.87, -0.81, 28.56, 
11:46:20.657 -> 1.50, 27.87, -0.81, 28.62, 
11:46:22.753 -> 1.50, 27.87, -0.81, 28.56, 
11:46:24.820 -> 1.50, 27.81, -0.81, 28.56, 
11:46:26.911 -> 1.50, 27.81, -0.81, 28.56, 
11:46:28.986 -> 1.50, 27.81, -0.81, 28.56, 
11:46:31.084 -> 1.50, 27.81, -0.81, 28.56, 
11:46:33.169 -> 1.50, 27.81, -0.75, 28.56, 
11:46:35.234 -> 1.50, 27.81, -0.75, 28.56, 
11:46:37.352 -> 1.50, 27.81, -0.75, 28.56, 
11:46:39.451 -> 1.50, 27.81, -0.75, 28.56, 
11:46:41.538 -> 1.50, 27.81, -0.69, 28.56, 
11:46:43.601 -> 1.50, 27.81, -0.75, 28.56, 
11:46:45.708 -> 1.50, 27.81, -0.69, 28.56, 
11:46:47.773 -> 1.50, 27.81, -0.69, 28.56, 
11:46:49.860 -> 1.50, 27.81, -0.69, 28.56, 
11:46:51.957 -> 1.50, 27.87, -0.69, 28.50, 
11:46:54.026 -> 1.50, 27.81, -0.69, 28.50, 
11:46:56.136 -> 1.50, 27.81, -0.69, 28.50, 
11:46:58.209 -> 1.50, 27.81, -0.69, 28.50, 
11:47:00.289 -> 1.50, 27.81, -0.69, 28.50, 
11:47:02.384 -> 1.50, 27.81, -0.69, 28.44, 
11:47:04.464 -> 1.50, 27.81, -0.69, 28.50, 
11:47:06.569 -> 1.50, 27.81, -0.63, 28.50, 
11:47:08.634 -> 1.50, 27.81, -0.69, 28.50, 
11:47:10.744 -> 1.50, 27.81, -0.69, 28.50, 
11:47:12.818 -> 1.50, 27.81, -0.69, 28.50, 
