Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
0	0.000019	0.00043	-0.00029	-0.00020	-0.00043	-0.00028	-0.00073	0.00016	-0.00060	0.00057	0.00163	-0.00029	0	4.819	5.260	45.43	49.23	51.32	47.60	3.768	2.234	0.00043	8.10e-9	0.00020	5.65e-8	0.00028	1.21e-7	0.00016	1.14e-7	0.00057	3.42e-7	0.00029	4.70e-7	45.46	42.78	40.17	
0.1000	0.000029	0.00043	-0.00031	-0.00019	-0.00043	-0.00028	-0.00073	0.00016	-0.00061	0.00056	0.00162	-0.00028	0.1000	4.819	5.260	45.43	49.23	51.32	47.60	3.769	2.233	0.00043	1.25e-8	0.00019	6.03e-8	0.00028	1.20e-7	0.00016	1.17e-7	0.00056	3.43e-7	0.00028	4.58e-7	45.46	42.79	40.17	
0.2000	0.000030	0.00043	-0.00031	-0.00020	-0.00043	-0.00028	-0.00072	0.00016	-0.00061	0.00056	0.00163	-0.00029	0.2000	4.819	5.260	45.43	49.23	51.32	47.60	3.768	2.234	0.00043	1.30e-8	0.00020	6.13e-8	0.00028	1.17e-7	0.00016	1.18e-7	0.00056	3.41e-7	0.00029	4.66e-7	45.46	42.79	40.17	
0.3000	0.000022	0.00043	-0.00031	-0.00021	-0.00043	-0.00028	-0.00073	0.00016	-0.00061	0.00056	0.00164	-0.00028	0.3000	4.820	5.259	45.43	49.23	51.32	47.61	3.767	2.233	0.00043	9.25e-9	0.00021	6.41e-8	0.00028	1.19e-7	0.00016	1.14e-7	0.00056	3.43e-7	0.00028	4.62e-7	45.46	42.78	40.17	
0.4000	0.000033	0.00044	-0.00032	-0.00019	-0.00041	-0.00028	-0.00073	0.00016	-0.00062	0.00057	0.00164	-0.00028	0.4000	4.820	5.260	45.43	49.23	51.32	47.61	3.768	2.233	0.00044	1.45e-8	0.00019	6.14e-8	0.00028	1.16e-7	0.00016	1.15e-7	0.00057	3.49e-7	0.00028	4.66e-7	45.46	42.79	40.17	
0.5000	0.000026	0.00044	-0.00031	-0.00019	-0.00040	-0.00027	-0.00075	0.00015	-0.00062	0.00057	0.00164	-0.00031	0.5000	4.820	5.261	45.43	49.23	51.32	47.61	3.768	2.233	0.00044	1.14e-8	0.00019	6.02e-8	0.00027	1.10e-7	0.00015	1.15e-7	0.00057	3.49e-7	0.00031	5.04e-7	45.46	42.79	40.17	
0.6000	0.000017	0.00044	-0.00032	-0.00020	-0.00042	-0.00027	-0.00074	0.00015	-0.00061	0.00058	0.00164	-0.00032	0.6000	4.820	5.260	45.43	49.23	51.32	47.61	3.768	2.234	0.00044	7.63e-9	0.00020	6.33e-8	0.00027	1.14e-7	0.00015	1.15e-7	0.00058	3.54e-7	0.00032	5.18e-7	45.46	42.79	40.17	
0.7000	0.000023	0.00043	-0.00032	-0.00020	-0.00042	-0.00028	-0.00072	0.00016	-0.00061	0.00057	0.00163	-0.00032	0.7000	4.821	5.261	45.43	49.23	51.32	47.61	3.767	2.234	0.00043	9.90e-9	0.00020	6.47e-8	0.00028	1.15e-7	0.00016	1.16e-7	0.00057	3.47e-7	0.00032	5.19e-7	45.46	42.79	40.17	
0.8000	0.000023	0.00045	-0.00031	-0.00021	-0.00041	-0.00028	-0.00070	0.00017	-0.00059	0.00056	0.00164	-0.00031	0.8000	4.822	5.261	45.43	49.23	51.32	47.61	3.767	2.234	0.00045	1.03e-8	0.00021	6.56e-8	0.00028	1.15e-7	0.00017	1.18e-7	0.00056	3.32e-7	0.00031	5.12e-7	45.46	42.79	40.17	
0.9000	0.000026	0.00046	-0.00030	-0.00020	-0.00041	-0.00027	-0.00071	0.00015	-0.00058	0.00057	0.00164	-0.00029	0.9000	4.822	5.261	45.43	49.23	51.32	47.61	3.767	2.234	0.00046	1.19e-8	0.00020	5.93e-8	0.00027	1.12e-7	0.00015	1.09e-7	0.00057	3.31e-7	0.00029	4.68e-7	45.46	42.79	40.17	
