Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
0	-0.000019	0.07193	-0.00037	-0.00026	-0.00039	-0.00032	-0.00067	0.00021	-0.00069	0.00053	0.00157	-0.00028	0	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.07193	1.35e-6	0.00026	9.70e-8	0.00032	1.24e-7	0.00021	1.37e-7	0.00053	3.64e-7	0.00028	4.42e-7	6.175	9.802	9.621	
0.1000	-0.000014	0.07121	-0.00038	-0.00026	-0.00040	-0.00031	-0.00066	0.00021	-0.00070	0.00053	0.00156	-0.00028	0.1000	33.95	32.21	41.83	42.78	51.77	43.75	36.61	27.80	0.07121	1.03e-6	0.00026	9.81e-8	0.00031	1.22e-7	0.00021	1.37e-7	0.00053	3.70e-7	0.00028	4.35e-7	6.174	9.801	9.620	
0.2000	-0.000016	0.07005	-0.00038	-0.00026	-0.00040	-0.00030	-0.00067	0.00020	-0.00071	0.00053	0.00157	-0.00028	0.2000	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.07005	1.11e-6	0.00026	9.98e-8	0.00030	1.20e-7	0.00020	1.34e-7	0.00053	3.73e-7	0.00028	4.44e-7	6.174	9.802	9.621	
0.3000	-0.000016	0.07751	-0.00038	-0.00026	-0.00040	-0.00030	-0.00068	0.00022	-0.00070	0.00054	0.00155	-0.00030	0.3000	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.07751	1.23e-6	0.00026	9.85e-8	0.00030	1.22e-7	0.00022	1.48e-7	0.00054	3.74e-7	0.00030	4.59e-7	6.175	9.804	9.622	
0.4000	-0.000017	0.09878	-0.00037	-0.00026	-0.00040	-0.00030	-0.00068	0.00023	-0.00071	0.00053	0.00156	-0.00030	0.4000	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.09878	1.71e-6	0.00026	9.83e-8	0.00030	1.19e-7	0.00023	1.55e-7	0.00053	3.78e-7	0.00030	4.66e-7	6.175	9.803	9.622	
0.5000	-0.000023	0.09037	-0.00037	-0.00027	-0.00039	-0.00031	-0.00066	0.00023	-0.00071	0.00053	0.00157	-0.00030	0.5000	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.09037	2.08e-6	0.00027	9.99e-8	0.00031	1.21e-7	0.00023	1.53e-7	0.00053	3.79e-7	0.00030	4.70e-7	6.174	9.804	9.622	
0.6000	-0.000023	0.1605	-0.00038	-0.00027	-0.00039	-0.00031	-0.00067	0.00022	-0.00071	0.00054	0.00156	-0.00031	0.6000	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.1605	3.70e-6	0.00027	1.02e-7	0.00031	1.19e-7	0.00022	1.48e-7	0.00054	3.85e-7	0.00031	4.82e-7	6.175	9.804	9.622	
0.7000	-0.000012	0.1723	-0.00037	-0.00026	-0.00039	-0.00031	-0.00067	0.00023	-0.00070	0.00055	0.00156	-0.00031	0.7000	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.1723	1.99e-6	0.00026	9.72e-8	0.00031	1.22e-7	0.00023	1.51e-7	0.00055	3.85e-7	0.00031	4.86e-7	6.175	9.805	9.621	
0.8000	-0.000012	0.1470	-0.00038	-0.00027	-0.00040	-0.00031	-0.00067	0.00022	-0.00070	0.00055	0.00156	-0.00028	0.8000	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.1470	1.69e-6	0.00027	1.01e-7	0.00031	1.24e-7	0.00022	1.48e-7	0.00055	3.90e-7	0.00028	4.39e-7	6.174	9.805	9.623	
0.9000	-0.000022	0.1405	-0.00039	-0.00026	-0.00039	-0.00031	-0.00067	0.00022	-0.00070	0.00057	0.00156	-0.00027	0.9000	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.1405	3.04e-6	0.00026	1.02e-7	0.00031	1.20e-7	0.00022	1.52e-7	0.00057	4.01e-7	0.00027	4.18e-7	6.175	9.806	9.622	
1.000	-0.000013	0.08313	-0.00039	-0.00027	-0.00038	-0.00031	-0.00068	0.00023	-0.00071	0.00056	0.00156	-0.00028	1.000	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.08313	1.08e-6	0.00027	1.03e-7	0.00031	1.17e-7	0.00023	1.54e-7	0.00056	3.94e-7	0.00028	4.37e-7	6.174	9.806	9.623	
1.100	-0.000010	0.1052	-0.00038	-0.00027	-0.00038	-0.00031	-0.00068	0.00023	-0.00070	0.00054	0.00157	-0.00027	1.100	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.1052	1.06e-6	0.00027	1.01e-7	0.00031	1.19e-7	0.00023	1.55e-7	0.00054	3.79e-7	0.00027	4.23e-7	6.176	9.805	9.623	
1.200	-0.000012	0.1247	-0.00037	-0.00027	-0.00039	-0.00030	-0.00068	0.00022	-0.00070	0.00054	0.00156	-0.00027	1.200	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.1247	1.44e-6	0.00027	9.94e-8	0.00030	1.16e-7	0.00022	1.54e-7	0.00054	3.81e-7	0.00027	4.28e-7	6.174	9.807	9.623	
1.300	-0.000013	0.1233	-0.00038	-0.00026	-0.00038	-0.00031	-0.00069	0.00023	-0.00071	0.00055	0.00157	-0.00027	1.300	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.1233	1.60e-6	0.00026	9.70e-8	0.00031	1.16e-7	0.00023	1.56e-7	0.00055	3.87e-7	0.00027	4.30e-7	6.175	9.809	9.623	
1.400	-7.21e-6	0.09404	-0.00037	-0.00023	-0.00038	-0.00030	-0.00069	0.00022	-0.00072	0.00056	0.00158	-0.00028	1.400	33.95	32.21	41.83	42.78	51.76	43.75	36.60	27.80	0.09404	6.78e-7	0.00023	8.73e-8	0.00030	1.15e-7	0.00022	1.50e-7	0.00056	3.99e-7	0.00028	4.41e-7	6.176	9.808	9.623	
1.500	0	0.06730	-0.00038	-0.00023	-0.00038	-0.00030	-0.00069	0.00022	-0.00073	0.00056	0.00159	-0.00027	1.500	33.95	32.21	41.83	42.78	51.77	43.75	36.60	27.80	0.06730	0	0.00023	8.63e-8	0.00030	1.15e-7	0.00022	1.48e-7	0.00056	4.05e-7	0.00027	4.31e-7	6.176	9.807	9.623	
