Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
0	0.000033	0.00017	-0.00029	-0.00026	-0.00039	-0.00030	-0.00072	0.00020	-0.00074	0.00051	1.912	-0.2872	0	2.744	1.623	26.05	26.52	29.10	26.60	1.706	-1.659	0.00017	5.64e-9	0.00026	7.48e-8	0.00030	1.14e-7	0.00020	1.48e-7	0.00051	3.83e-7	0.2872	0.5490	24.81	23.86	24.42	
0.1000	0.000030	0.00016	-0.00029	-0.00026	-0.00038	-0.00029	-0.00073	0.00022	-0.00077	0.00051	1.912	-0.2872	0.1000	2.741	1.621	26.05	26.52	29.10	26.60	1.707	-1.660	0.00016	4.84e-9	0.00026	7.56e-8	0.00029	1.11e-7	0.00022	1.61e-7	0.00051	3.87e-7	0.2872	0.5490	24.81	23.86	24.43	
0.2000	0.000033	0.00017	-0.00030	-0.00026	-0.00038	-0.00031	-0.00073	0.00024	-0.00075	0.00050	1.912	-0.2872	0.2000	2.742	1.620	26.05	26.52	29.10	26.60	1.706	-1.660	0.00017	5.78e-9	0.00026	7.85e-8	0.00031	1.18e-7	0.00024	1.74e-7	0.00050	3.78e-7	0.2872	0.5490	24.81	23.86	24.43	
0.3000	0.000027	0.00019	-0.00030	-0.00026	-0.00037	-0.00031	-0.00073	0.00022	-0.00074	0.00052	1.912	-0.2872	0.3000	2.741	1.619	26.05	26.52	29.10	26.60	1.706	-1.660	0.00019	5.21e-9	0.00026	7.79e-8	0.00031	1.13e-7	0.00022	1.61e-7	0.00052	3.83e-7	0.2872	0.5490	24.81	23.86	24.43	
0.4000	0.000033	0.00018	-0.00029	-0.00026	-0.00038	-0.00031	-0.00073	0.00021	-0.00073	0.00051	1.912	-0.2872	0.4000	2.740	1.617	26.05	26.52	29.10	26.60	1.705	-1.660	0.00018	6.07e-9	0.00026	7.59e-8	0.00031	1.18e-7	0.00021	1.53e-7	0.00051	3.73e-7	0.2872	0.5490	24.81	23.86	24.43	
0.5000	0.000022	0.00018	-0.00029	-0.00024	-0.00039	-0.00030	-0.00071	0.00020	-0.00072	0.00050	1.912	-0.2872	0.5000	2.740	1.615	26.05	26.52	29.10	26.60	1.704	-1.660	0.00018	3.99e-9	0.00024	6.90e-8	0.00030	1.17e-7	0.00020	1.43e-7	0.00050	3.58e-7	0.2872	0.5490	24.81	23.86	24.43	
0.6000	0.000040	0.00020	-0.00029	-0.00023	-0.00039	-0.00029	-0.00072	0.00020	-0.00072	0.00050	1.912	-0.2872	0.6000	2.740	1.614	26.05	26.52	29.10	26.60	1.704	-1.660	0.00020	7.97e-9	0.00023	6.79e-8	0.00029	1.14e-7	0.00020	1.45e-7	0.00050	3.64e-7	0.2872	0.5490	24.81	23.86	24.43	
0.7000	0.000036	0.00019	-0.00030	-0.00023	-0.00039	-0.00030	-0.00072	0.00021	-0.00074	0.00051	1.912	-0.2872	0.7000	2.739	1.613	26.05	26.52	29.10	26.60	1.704	-1.659	0.00019	6.91e-9	0.00023	6.85e-8	0.00030	1.15e-7	0.00021	1.53e-7	0.00051	3.78e-7	0.2872	0.5491	24.81	23.86	24.43	
0.8000	0.000039	0.00020	-0.00031	-0.00023	-0.00039	-0.00030	-0.00072	0.00023	-0.00075	0.00050	1.912	-0.2872	0.8000	2.738	1.611	26.04	26.52	29.10	26.60	1.703	-1.660	0.00020	7.91e-9	0.00023	7.08e-8	0.00030	1.17e-7	0.00023	1.65e-7	0.00050	3.73e-7	0.2872	0.5491	24.81	23.86	24.43	
0.9000	0.000042	0.00021	-0.00032	-0.00023	-0.00039	-0.00030	-0.00071	0.00024	-0.00072	0.00049	1.912	-0.2872	0.9000	2.738	1.611	26.05	26.52	29.10	26.60	1.702	-1.660	0.00021	8.61e-9	0.00023	7.23e-8	0.00030	1.16e-7	0.00024	1.73e-7	0.00049	3.58e-7	0.2872	0.5491	24.82	23.87	24.43	
