Time_1_slow_sample_rate[s]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E[V]	Voltage_VarR[V]	Shunt_VarR[V]	Current_B[A]	Power_B[W]	Current_C[]	Power_C[]	Current_D[]	Power_D_[]	Current_E[]	Power_E[]	Current_VarR[]	Power_VarR[]
0	0.00138	-0.00048	-0.00220	-0.000092	-0.01453	-0.00256	0.00690	0.00194	0.00594	-0.00145	0.00048	6.69e-7	0.000092	2.03e-7	0.00256	0.000037	0.00194	0.000013	0.00145	8.64e-6	
0.1000	0.00138	-0.00048	-0.00221	-0.000091	-0.01453	-0.00256	0.00692	0.00193	0.00594	-0.00144	0.00048	6.71e-7	0.000091	2.00e-7	0.00256	0.000037	0.00193	0.000013	0.00144	8.54e-6	
0.2000	0.00137	-0.00048	-0.00220	-0.000092	-0.01452	-0.00257	0.00692	0.00193	0.00594	-0.00145	0.00048	6.56e-7	0.000092	2.03e-7	0.00257	0.000037	0.00193	0.000013	0.00145	8.61e-6	
0.3000	0.00136	-0.00048	-0.00220	-0.00011	-0.01452	-0.00256	0.00692	0.00194	0.00594	-0.00146	0.00048	6.48e-7	0.00011	2.37e-7	0.00256	0.000037	0.00194	0.000013	0.00146	8.67e-6	
0.4000	0.00137	-0.00048	-0.00219	-0.00010	-0.01451	-0.00255	0.00693	0.00193	0.00594	-0.00144	0.00048	6.54e-7	0.00010	2.27e-7	0.00255	0.000037	0.00193	0.000013	0.00144	8.53e-6	
0.5000	0.00138	-0.00049	-0.00220	-0.00010	-0.01450	-0.00256	0.00692	0.00192	0.00594	-0.00142	0.00049	6.72e-7	0.00010	2.22e-7	0.00256	0.000037	0.00192	0.000013	0.00142	8.45e-6	
0.6000	0.00139	-0.00049	-0.00220	-0.00011	-0.01451	-0.00256	0.00693	0.00193	0.00594	-0.00141	0.00049	6.81e-7	0.00011	2.47e-7	0.00256	0.000037	0.00193	0.000013	0.00141	8.39e-6	
0.7000	0.00138	-0.00049	-0.00220	-0.00011	-0.01452	-0.00256	0.00693	0.00194	0.00594	-0.00140	0.00049	6.73e-7	0.00011	2.34e-7	0.00256	0.000037	0.00194	0.000013	0.00140	8.31e-6	
0.8000	0.00137	-0.00047	-0.00221	-0.00011	-0.01451	-0.00255	0.00692	0.00194	0.00594	-0.00141	0.00047	6.49e-7	0.00011	2.48e-7	0.00255	0.000037	0.00194	0.000013	0.00141	8.35e-6	
0.9000	0.00137	-0.00047	-0.00221	-0.00011	-0.01451	-0.00255	0.00691	0.00194	0.00592	-0.00141	0.00047	6.40e-7	0.00011	2.38e-7	0.00255	0.000037	0.00194	0.000013	0.00141	8.32e-6	
1.000	0.00137	-0.00048	-0.00222	-0.00010	-0.01450	-0.00255	0.00691	0.00195	0.00592	-0.00141	0.00048	6.56e-7	0.00010	2.27e-7	0.00255	0.000037	0.00195	0.000013	0.00141	8.32e-6	
