Date Time	Sensor_3	Sensor_4	Sensor_5	Sensor_6	Sensor_9	Sensor_10
2024-02-02 11.08.40	22.54739189	22.46137428	22.06000137	22.2897377	22.18949509	22.13919449
2024-02-02 11.09.00	22.58917427	22.51436234	22.10028267	22.3312912	22.19029999	22.10279465
2024-02-02 11.09.20	22.59222984	22.55984497	22.11172485	22.30749321	22.14234543	22.12603951
2024-02-02 11.09.40	22.62622452	22.55808449	22.11058998	22.31163216	22.18511963	22.13180161
2024-02-02 11.10.00	22.77199173	22.51585197	22.10996628	22.28026009	22.18448257	22.11008072
2024-02-02 11.10.20	22.74983597	22.45914459	22.10832977	22.27561378	22.14990616	22.14454079
2024-02-02 11.10.40	22.72676659	22.40847397	22.09862518	22.25861359	22.12999725	22.08984184
2024-02-02 11.11.00	22.79273415	22.39906883	22.09945679	22.24684334	22.15340233	22.13224983
2024-02-02 11.11.20	22.83254051	22.39572334	22.14071655	22.2408123	22.17009735	22.15821075
2024-02-02 11.11.40	22.7588253	22.36592102	22.11120987	22.23098373	22.19015694	22.10613441
2024-02-02 11.12.00	22.74648285	22.31760406	22.10773468	22.22504044	22.13668823	22.1413269
2024-02-02 11.12.20	22.65318871	22.30315971	22.10048294	22.2225666	22.13416481	22.09154701
2024-02-02 11.12.40	22.55580711	22.35233307	22.09295464	22.20719528	22.11013985	22.06826591
2024-02-02 11.13.00	22.50319862	22.30989075	22.0879612	22.20474815	22.14165115	22.10030365
2024-02-02 11.13.21	22.51654243	22.28902435	22.08629608	22.1989727	22.15596199	22.11572075
2024-02-02 11.13.41	22.44948959	22.25936317	22.05944824	22.17921638	22.13869286	22.09843063
2024-02-02 11.14.01	22.40512276	22.26386452	22.04489517	22.1838665	22.14455032	22.10310555
2024-02-02 11.14.21	22.37851143	22.23849106	22.03251076	22.18332863	22.14314842	22.10289764
2024-02-02 11.14.50	22.35049057	22.21526909	22.01101303	22.17473412	22.14031792	22.09998894
2024-02-02 11.15.12	22.37763596	22.23734474	22.00767708	22.13250732	22.14780045	22.09572792
2024-02-02 11.15.35	22.39732361	22.25616264	22.0261879	22.1537838	22.13685608	22.09533119
2024-02-02 11.16.00	22.39463234	22.25523186	22.00525665	22.17462158	22.17873383	22.09450531
2024-02-02 11.16.20	24.36227608	26.01766205	22.02196884	22.19205856	23.44228745	22.26795959
2024-02-02 11.16.40	26.25201225	34.19428253	22.03942299	22.35843086	25.89693642	23.34304047
2024-02-02 11.17.04	26.97080803	40.2263298	22.10106087	22.77046204	26.30108452	24.28454971
2024-02-02 11.17.27	27.17644119	41.65491104	22.23423767	23.20680428	26.25817299	24.83080482
2024-02-02 11.17.54	27.21579742	41.94073486	22.38571167	23.70593643	26.0926609	25.11495781
2024-02-02 11.18.18	27.13422966	41.8482399	22.51218033	24.06918716	25.92268753	25.24210167
2024-02-02 11.18.38	27.04545975	41.53471375	22.58228302	24.1898365	25.76865578	25.25969887
2024-02-02 11.18.58	26.96997261	41.16801453	22.65714645	24.42213249	25.65557098	25.21265411
2024-02-02 11.19.19	26.87119865	42.77991486	22.77680206	24.5353775	25.50237083	25.21050453
2024-02-02 11.19.39	26.77898788	44.85621262	22.90306854	24.67483521	25.49956512	25.15981674
2024-02-02 11.19.59	26.71211815	45.53973389	23.00875854	24.72588921	25.4520607	25.16053963
2024-02-02 11.20.19	26.72868156	45.57894897	23.15815735	24.83672905	25.38710976	25.12085533
2024-02-02 11.20.39	26.7215519	45.33383179	23.21911812	24.82243729	25.31150055	25.09869385
2024-02-02 11.20.59	26.72365189	44.76134872	23.31389618	24.84803581	25.28020096	25.04259872
2024-02-02 11.21.19	26.72399521	43.97153854	23.36477661	24.80428886	25.15967178	25.01560402
2024-02-02 11.21.39	26.72093964	43.01088333	23.462183	24.80306053	25.14306641	24.95179176
2024-02-02 11.21.59	26.76107597	42.04132843	23.51649666	24.83184433	25.0799942	24.9138279
2024-02-02 11.22.19	26.78787994	41.5891304	23.62650299	24.83403206	25.04519653	24.90845108
